SA1_CODE_2021,zone_tier,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
11103122704,core,131,279,5,8,7,13,9,19,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,143,301,12,..,156,301
11103122705,core,143,311,0,5,0,0,0,5,0,10,0,0,0,0,0,0,6,13,8,15,0,0,0,0,0,0,0,0,0,0,0,0,151,330,18,..,165,330
11103122706,core,180,422,22,39,7,17,31,55,0,3,0,0,0,0,0,0,4,17,11,21,0,0,0,0,0,0,0,0,0,0,0,0,216,490,18,..,231,490
11103122707,core,201,460,21,40,14,26,37,65,6,0,19,29,0,0,0,0,0,0,26,35,0,0,0,0,0,0,8,11,8,11,0,0,263,571,17,..,277,571
11103122708,core,172,404,24,33,11,26,35,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,465,12,..,213,465
11103122709,core,135,323,10,11,0,5,10,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,145,346,13,..,158,346
11103122710,core,145,353,20,33,0,0,18,29,4,5,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,175,398,14,..,190,398
11103122711,core,170,400,3,4,3,3,7,11,31,42,0,0,0,0,0,0,0,0,36,45,0,0,0,0,0,0,0,0,0,0,0,0,210,451,18,..,229,451
11103122712,core,75,185,0,3,0,0,0,3,9,16,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,86,202,7,..,87,202
11103122713,core,163,439,38,52,37,53,68,108,13,13,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,247,559,31,..,278,559
11103122714,core,191,478,6,13,21,43,29,50,24,40,0,0,0,0,0,0,0,4,29,46,0,0,0,0,0,0,0,0,0,0,0,0,244,575,15,..,258,575
11103122715,core,119,281,11,16,4,10,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,311,3,..,135,311
11103122716,core,77,188,14,31,10,25,28,57,26,26,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,129,268,10,..,136,268
11103122717,core,163,427,8,24,4,8,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,454,13,..,191,454
11103122718,core,147,311,25,41,25,41,52,85,6,16,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,5,6,5,6,0,0,208,423,23,..,231,423
11103122719,core,146,381,3,10,10,13,13,20,18,39,0,0,0,0,0,0,0,0,19,32,0,0,0,0,0,0,0,0,0,0,0,0,183,439,16,..,194,439
11103122720,core,122,325,29,56,22,43,53,101,21,31,0,0,0,0,0,0,0,4,23,37,0,0,0,0,0,0,0,0,0,0,0,0,194,458,10,..,206,458
11103122721,core,124,271,6,12,3,4,9,17,10,14,0,0,0,0,0,0,3,5,14,17,0,0,0,0,0,0,23,40,23,40,0,0,168,349,16,..,186,349
11103122722,core,45,100,11,15,9,13,20,29,26,47,0,0,0,0,0,0,0,0,26,47,0,0,0,0,0,0,0,0,0,0,10,13,108,189,6,..,109,189
11103122723,core,96,210,22,33,49,76,70,110,3,6,13,16,0,0,0,0,0,3,18,24,0,0,0,0,0,0,0,0,0,0,0,4,193,351,11,..,198,351
11103122724,core,169,401,73,101,28,69,105,170,5,4,0,0,0,0,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,281,574,18,..,295,574
11103122725,core,162,372,3,13,4,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,390,3,..,176,390
