SA1_CODE_2021,zone_tier,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
11103122522,core,0,0,0,4,0,4,3,6,0,18,0,9,0,4,0,5,0,0,0,19,0,8,0,0,0,0,0,0,0,19,3,6,4,0,3,0,0,0,0,26,6,27,7,4,3,0,7,0,0,50,0,14,5,0,11,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,67,17,14,29,11,9,6,3,175
11103122523,core,0,0,0,0,0,5,0,0,0,4,0,3,4,3,0,0,0,4,0,19,7,21,9,6,0,6,5,8,0,55,0,7,5,4,5,3,4,0,0,33,3,4,3,6,4,0,0,4,0,24,0,5,0,3,4,0,4,0,4,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,25,16,16,17,10,21,4,157
11103122524,core,0,3,0,7,0,5,0,4,0,15,0,5,3,7,5,4,0,3,0,33,3,28,11,11,6,6,3,8,0,69,7,20,6,7,7,4,0,8,0,66,5,11,4,7,11,3,3,0,0,51,9,8,5,5,6,0,4,4,0,43,0,3,0,0,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,87,33,43,37,26,12,20,0,285
11103122525,core,0,0,0,0,0,8,3,6,0,20,0,3,0,7,0,6,0,0,0,14,0,17,3,4,6,0,0,0,0,31,0,26,12,4,8,6,0,7,0,60,11,15,6,8,9,0,4,3,0,50,0,9,10,6,4,3,0,6,0,32,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,75,21,31,20,18,6,23,0,213
11103122526,core,0,0,3,0,0,12,0,0,0,22,0,0,4,5,0,5,0,0,0,21,4,23,9,5,8,0,0,0,0,50,9,33,7,4,6,0,4,0,0,70,17,23,10,7,7,3,4,4,0,69,12,15,4,6,9,9,0,4,0,57,0,8,0,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,112,37,24,34,32,13,16,0,310
11103122527,core,0,0,0,0,0,6,0,0,0,6,0,0,3,4,4,4,0,0,0,12,0,8,4,4,0,0,0,4,0,16,4,12,5,0,5,0,4,0,0,32,6,9,0,0,7,0,0,0,0,26,0,3,5,5,5,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,18,16,15,5,3,10,0,114
11103122528,core,0,0,0,3,4,9,0,0,0,18,0,3,0,3,0,0,0,0,0,8,0,10,3,4,0,3,0,0,0,13,8,30,0,0,0,0,4,0,0,46,5,18,0,4,9,0,0,4,0,41,7,14,0,0,3,4,0,5,0,28,5,10,0,4,0,0,0,0,0,26,4,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,31,92,6,15,24,14,4,8,0,192
11103122529,core,0,0,4,0,0,10,0,3,0,14,0,0,3,3,0,3,0,0,0,7,0,5,0,0,0,3,0,0,0,8,3,20,0,6,0,0,0,0,0,29,12,16,0,5,6,0,0,0,0,46,4,10,3,0,4,0,0,0,0,31,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,54,13,14,16,19,0,11,0,145
11103122530,core,0,0,0,4,0,5,0,6,0,17,0,4,0,5,0,0,0,0,0,23,0,21,3,3,4,4,0,0,0,44,9,19,3,8,0,7,4,4,0,51,15,18,11,12,15,3,0,3,0,69,6,19,7,3,10,3,0,7,0,51,3,4,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,84,29,32,32,19,9,20,0,261
11103122531,core,3,0,0,0,0,7,0,0,0,12,0,0,0,4,0,0,0,0,0,9,4,11,7,0,0,0,4,0,0,27,8,20,8,5,0,0,0,0,0,32,9,12,8,0,7,0,0,0,5,38,0,12,0,0,0,0,0,4,0,21,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65,14,14,10,13,3,6,9,150
