Year_Month,Location,Card_type,Trip
2021-10,Civic Light Rail,Senior/Pensioner,651
2021-10,Civic Light Rail,Sgl Trip LR Adult,4
2021-10,Crown Street Light Rail,Adult,471
2021-10,Crown Street Light Rail,CTP,766
2021-10,Crown Street Light Rail,Child/Youth,97
2021-10,Crown Street Light Rail,Concession,79
2021-10,Crown Street Light Rail,Day Pass without SAF,2
2021-10,Crown Street Light Rail,Employee,23
2021-10,Crown Street Light Rail,Free Travel,5
2021-10,Crown Street Light Rail,School Student,9
2021-10,Crown Street Light Rail,Senior/Pensioner,554
2021-10,Crown Street Light Rail,Sgl Trip LR Adult,26
2021-10,Honeysuckle Light Rail,Adult,732
2021-10,Honeysuckle Light Rail,CTP,947
2021-10,Honeysuckle Light Rail,Child/Youth,195
2021-10,Honeysuckle Light Rail,Concession,105
2021-10,Honeysuckle Light Rail,Day Pass without SAF,2
2021-10,Honeysuckle Light Rail,Employee,66
2021-10,Honeysuckle Light Rail,Free Travel,6
2021-10,Honeysuckle Light Rail,School Student,123
2021-10,Honeysuckle Light Rail,Senior/Pensioner,1025
2021-10,Honeysuckle Light Rail,Sgl Trip LR Adult,2
2021-10,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,1
2021-10,Newcastle Beach Light Rail,Adult,887
2021-10,Newcastle Beach Light Rail,CTP,1352
2021-10,Newcastle Beach Light Rail,Child/Youth,263
2021-10,Newcastle Beach Light Rail,Concession,67
2021-10,Newcastle Beach Light Rail,Day Pass without SAF,1
2021-10,Newcastle Beach Light Rail,Employee,23
2021-10,Newcastle Beach Light Rail,Free Travel,24
2021-10,Newcastle Beach Light Rail,School Student,42
2021-10,Newcastle Beach Light Rail,Senior/Pensioner,1185
2021-10,Newcastle Beach Light Rail,Sgl Trip LR Adult,27
2021-10,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,4
2021-10,Newcastle Interchange Light Rail,Adult,2255
2021-10,Newcastle Interchange Light Rail,CTP,2683
2021-10,Newcastle Interchange Light Rail,Child/Youth,350
2021-10,Newcastle Interchange Light Rail,Concession,264
2021-10,Newcastle Interchange Light Rail,Day Pass without SAF,5
2021-10,Newcastle Interchange Light Rail,Employee,47
2021-10,Newcastle Interchange Light Rail,Free Travel,44
2021-10,Newcastle Interchange Light Rail,School Student,126
2021-10,Newcastle Interchange Light Rail,Senior/Pensioner,2018
2021-10,Newcastle Interchange Light Rail,Sgl Trip LR Adult,22
2021-10,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,20
2021-10,Queens Wharf Light Rail,Adult,906
2021-10,Queens Wharf Light Rail,CTP,1326
2021-10,Queens Wharf Light Rail,Child/Youth,183
2021-10,Queens Wharf Light Rail,Concession,73
2021-10,Queens Wharf Light Rail,Employee,30
2021-10,Queens Wharf Light Rail,Free Travel,29
2021-10,Queens Wharf Light Rail,School Student,82
2021-10,Queens Wharf Light Rail,Senior/Pensioner,1252
2021-10,Queens Wharf Light Rail,Sgl Trip LR Adult,6
2021-10,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,5
2021-11,Civic Light Rail,Adult,1803
2021-11,Civic Light Rail,CTP,1970
2021-11,Civic Light Rail,Child/Youth,165
2021-11,Civic Light Rail,Concession,168
2021-11,Civic Light Rail,Employee,25
2021-11,Civic Light Rail,Free Travel,26
2021-11,Civic Light Rail,School Student,94
2021-11,Civic Light Rail,Senior/Pensioner,1239
2021-11,Civic Light Rail,Sgl Trip LR Adult,11
2021-11,Civic Light Rail,Sgl Trip LR Child/Youth,10
2021-11,Crown Street Light Rail,Adult,800
2021-11,Crown Street Light Rail,CTP,1168
2021-11,Crown Street Light Rail,Child/Youth,55
2021-11,Crown Street Light Rail,Concession,95
2021-11,Crown Street Light Rail,Employee,36
2021-11,Crown Street Light Rail,Free Travel,14
2021-11,Crown Street Light Rail,School Student,8
2021-11,Crown Street Light Rail,Senior/Pensioner,772
2021-11,Crown Street Light Rail,Sgl Trip LR Adult,5
2021-11,Crown Street Light Rail,Sgl Trip LR Child/Youth,4
2021-11,Honeysuckle Light Rail,Adult,1258
2021-11,Honeysuckle Light Rail,CTP,1521
2021-11,Honeysuckle Light Rail,Child/Youth,165
2021-11,Honeysuckle Light Rail,Concession,271
2021-11,Honeysuckle Light Rail,Day Pass without SAF,1
2021-11,Honeysuckle Light Rail,Employee,69
2021-11,Honeysuckle Light Rail,Free Travel,11
2021-11,Honeysuckle Light Rail,School Student,337
2021-11,Honeysuckle Light Rail,Senior/Pensioner,1290
2021-11,Honeysuckle Light Rail,Sgl Trip LR Adult,17
2021-11,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,7
2021-11,Newcastle Beach Light Rail,Adult,1497
2021-11,Newcastle Beach Light Rail,CTP,1845
2021-11,Newcastle Beach Light Rail,Child/Youth,201
2021-11,Newcastle Beach Light Rail,Concession,139
2021-11,Newcastle Beach Light Rail,Employee,56
2021-11,Newcastle Beach Light Rail,Free Travel,26
2021-11,Newcastle Beach Light Rail,School Student,93
2021-11,Newcastle Beach Light Rail,Senior/Pensioner,1659
2021-11,Newcastle Beach Light Rail,Sgl Trip LR Adult,18
2021-11,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,13
2021-11,Newcastle Interchange Light Rail,Adult,4176
2021-11,Newcastle Interchange Light Rail,CTP,4209
2021-11,Newcastle Interchange Light Rail,Child/Youth,341
2021-11,Newcastle Interchange Light Rail,Concession,547
2021-11,Newcastle Interchange Light Rail,Employee,97
2021-11,Newcastle Interchange Light Rail,Free Travel,82
2021-11,Newcastle Interchange Light Rail,School Student,290
2021-11,Newcastle Interchange Light Rail,Senior/Pensioner,3341
2021-11,Newcastle Interchange Light Rail,Sgl Trip LR Adult,41
2021-11,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,33
2021-11,Queens Wharf Light Rail,Adult,1664
2021-11,Queens Wharf Light Rail,CTP,1841
2021-11,Queens Wharf Light Rail,Child/Youth,184
2021-11,Queens Wharf Light Rail,Concession,142
2021-11,Queens Wharf Light Rail,Employee,45
2021-11,Queens Wharf Light Rail,Free Travel,42
2021-11,Queens Wharf Light Rail,School Student,280
2021-11,Queens Wharf Light Rail,Senior/Pensioner,2136
2021-11,Queens Wharf Light Rail,Sgl Trip LR Adult,11
2021-11,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,4
2021-12,Civic Light Rail,Adult,1816
2021-12,Civic Light Rail,CTP,2039
2021-12,Civic Light Rail,Child/Youth,268
2021-12,Civic Light Rail,Concession,168
2021-12,Civic Light Rail,Day Pass without SAF,1
2021-12,Civic Light Rail,Employee,18
2021-12,Civic Light Rail,Free Travel,27
2021-12,Civic Light Rail,School Student,45
2021-12,Civic Light Rail,Senior/Pensioner,1246
2021-12,Civic Light Rail,Sgl Trip LR Adult,15
2021-12,Civic Light Rail,Sgl Trip LR Child/Youth,10
2021-12,Crown Street Light Rail,Adult,885
2021-12,Crown Street Light Rail,CTP,1253
2021-12,Crown Street Light Rail,Child/Youth,115
2021-12,Crown Street Light Rail,Concession,96
2021-12,Crown Street Light Rail,Employee,23
2021-12,Crown Street Light Rail,Free Travel,9
2021-12,Crown Street Light Rail,School Student,12
2021-12,Crown Street Light Rail,Senior/Pensioner,839
2021-12,Crown Street Light Rail,Sgl Trip LR Adult,10
2021-12,Crown Street Light Rail,Sgl Trip LR Child/Youth,5
2021-12,Honeysuckle Light Rail,Adult,1355
2021-12,Honeysuckle Light Rail,CTP,1582
2021-12,Honeysuckle Light Rail,Child/Youth,283
2021-12,Honeysuckle Light Rail,Concession,162
2021-12,Honeysuckle Light Rail,Employee,69
2021-12,Honeysuckle Light Rail,Free Travel,18
2021-12,Honeysuckle Light Rail,School Student,163
2021-12,Honeysuckle Light Rail,Senior/Pensioner,1471
2021-12,Honeysuckle Light Rail,Sgl Trip LR Adult,6
2021-12,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,7
2021-12,Newcastle Beach Light Rail,Adult,1820
2021-12,Newcastle Beach Light Rail,CTP,2096
2021-12,Newcastle Beach Light Rail,Child/Youth,518
2021-12,Newcastle Beach Light Rail,Concession,162
2021-12,Newcastle Beach Light Rail,Employee,42
2021-12,Newcastle Beach Light Rail,Free Travel,12
2021-12,Newcastle Beach Light Rail,School Student,55
2021-12,Newcastle Beach Light Rail,Senior/Pensioner,1852
2021-12,Newcastle Beach Light Rail,Sgl Trip LR Adult,25
2021-12,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,7
2021-12,Newcastle Interchange Light Rail,Adult,4601
2021-12,Newcastle Interchange Light Rail,CTP,4613
2021-12,Newcastle Interchange Light Rail,Child/Youth,812
2021-12,Newcastle Interchange Light Rail,Concession,383
2021-12,Newcastle Interchange Light Rail,Day Pass without SAF,2
2021-12,Newcastle Interchange Light Rail,Employee,92
2021-12,Newcastle Interchange Light Rail,Free Travel,64
2021-12,Newcastle Interchange Light Rail,School Student,151
2021-12,Newcastle Interchange Light Rail,Senior/Pensioner,3332
2021-12,Newcastle Interchange Light Rail,Sgl Trip LR Adult,50
2021-12,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,33
2021-12,Queens Wharf Light Rail,Adult,1858
2021-12,Queens Wharf Light Rail,CTP,2011
2021-12,Queens Wharf Light Rail,Child/Youth,337
2021-12,Queens Wharf Light Rail,Concession,120
2021-12,Queens Wharf Light Rail,Employee,35
2021-12,Queens Wharf Light Rail,Free Travel,56
2021-12,Queens Wharf Light Rail,School Student,132
2021-12,Queens Wharf Light Rail,Senior/Pensioner,2039
2021-12,Queens Wharf Light Rail,Sgl Trip LR Adult,5
2021-12,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,9
2022-01,Civic Light Rail,Adult,1662
2022-01,Civic Light Rail,CTP,1852
2022-01,Civic Light Rail,Child/Youth,525
2022-01,Civic Light Rail,Concession,170
2022-01,Civic Light Rail,Employee,19
2022-01,Civic Light Rail,Free Travel,20
2022-01,Civic Light Rail,School Student,6
2022-01,Civic Light Rail,Senior/Pensioner,962
2022-01,Civic Light Rail,Sgl Trip LR Adult,22
2022-01,Civic Light Rail,Sgl Trip LR Child/Youth,25
2022-01,Crown Street Light Rail,Adult,783
2022-01,Crown Street Light Rail,CTP,1116
2022-01,Crown Street Light Rail,Child/Youth,228
2022-01,Crown Street Light Rail,Concession,64
2022-01,Crown Street Light Rail,Employee,23
2022-01,Crown Street Light Rail,Free Travel,6
2022-01,Crown Street Light Rail,School Student,1
2022-01,Crown Street Light Rail,Senior/Pensioner,730
2022-01,Crown Street Light Rail,Sgl Trip LR Adult,6
2022-01,Crown Street Light Rail,Sgl Trip LR Child/Youth,6
2022-01,Honeysuckle Light Rail,Adult,1124
2022-01,Honeysuckle Light Rail,CTP,1589
2022-01,Honeysuckle Light Rail,Child/Youth,485
2022-01,Honeysuckle Light Rail,Concession,114
2022-01,Honeysuckle Light Rail,Day Pass without SAF,2
2022-01,Honeysuckle Light Rail,Employee,35
2022-01,Honeysuckle Light Rail,Free Travel,11
2022-01,Honeysuckle Light Rail,School Student,4
2022-01,Honeysuckle Light Rail,Senior/Pensioner,1182
2022-01,Honeysuckle Light Rail,Sgl Trip LR Adult,4
2022-01,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,9
2022-01,Newcastle Beach Light Rail,Adult,1854
2022-01,Newcastle Beach Light Rail,CTP,2479
2022-01,Newcastle Beach Light Rail,Child/Youth,906
2022-01,Newcastle Beach Light Rail,Concession,162
2022-01,Newcastle Beach Light Rail,Day Pass without SAF,1
2022-01,Newcastle Beach Light Rail,Employee,26
2022-01,Newcastle Beach Light Rail,Free Travel,24
2022-01,Newcastle Beach Light Rail,School Student,3
2022-01,Newcastle Beach Light Rail,Senior/Pensioner,1823
2022-01,Newcastle Beach Light Rail,Sgl Trip LR Adult,26
2022-01,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,44
2022-01,Newcastle Interchange Light Rail,Adult,3769
2022-01,Newcastle Interchange Light Rail,CTP,4172
2022-01,Newcastle Interchange Light Rail,Child/Youth,1242
2022-01,Newcastle Interchange Light Rail,Concession,318
2022-01,Newcastle Interchange Light Rail,Employee,87
2022-01,Newcastle Interchange Light Rail,Free Travel,51
2022-01,Newcastle Interchange Light Rail,School Student,6
2022-01,Newcastle Interchange Light Rail,Senior/Pensioner,2899
2022-01,Newcastle Interchange Light Rail,Sgl Trip LR Adult,73
2022-01,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,100
2022-01,Queens Wharf Light Rail,Adult,1606
2022-01,Queens Wharf Light Rail,CTP,1962
2022-01,Queens Wharf Light Rail,Child/Youth,723
2022-01,Queens Wharf Light Rail,Concession,95
2022-01,Queens Wharf Light Rail,Employee,31
2022-01,Queens Wharf Light Rail,Free Travel,32
2022-01,Queens Wharf Light Rail,School Student,3
2022-01,Queens Wharf Light Rail,Senior/Pensioner,1814
2022-01,Queens Wharf Light Rail,Sgl Trip LR Adult,14
2022-01,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,18
2022-02,Civic Light Rail,Adult,2047
2022-02,Civic Light Rail,CTP,2291
2022-02,Civic Light Rail,Child/Youth,205
2022-02,Civic Light Rail,Concession,577
2022-02,Civic Light Rail,Employee,35
2022-02,Civic Light Rail,Free Travel,23
2022-02,Civic Light Rail,School Student,72
2022-02,Civic Light Rail,Senior/Pensioner,1280
2022-02,Civic Light Rail,Sgl Trip LR Adult,8
2022-02,Civic Light Rail,Sgl Trip LR Child/Youth,5
2022-02,Crown Street Light Rail,Adult,849
2022-02,Crown Street Light Rail,CTP,1274
2022-02,Crown Street Light Rail,Child/Youth,99
2022-02,Crown Street Light Rail,Concession,74
2022-02,Crown Street Light Rail,Employee,23
2022-02,Crown Street Light Rail,Free Travel,12
2022-02,Crown Street Light Rail,School Student,16
2022-02,Crown Street Light Rail,Senior/Pensioner,772
2022-02,Crown Street Light Rail,Sgl Trip LR Adult,15
2022-02,Crown Street Light Rail,Sgl Trip LR Child/Youth,2
2022-02,Honeysuckle Light Rail,Adult,1261
2022-02,Honeysuckle Light Rail,CTP,1712
2022-02,Honeysuckle Light Rail,Child/Youth,207
2022-02,Honeysuckle Light Rail,Concession,282
2022-02,Honeysuckle Light Rail,Employee,72
2022-02,Honeysuckle Light Rail,Free Travel,8
2022-02,Honeysuckle Light Rail,School Student,363
2022-02,Honeysuckle Light Rail,Senior/Pensioner,1320
2022-02,Honeysuckle Light Rail,Sgl Trip LR Adult,9
2022-02,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,6
2022-02,Newcastle Beach Light Rail,Adult,1543
2022-02,Newcastle Beach Light Rail,CTP,2239
2022-02,Newcastle Beach Light Rail,Child/Youth,222
2022-02,Newcastle Beach Light Rail,Concession,183
2022-02,Newcastle Beach Light Rail,Employee,31
2022-02,Newcastle Beach Light Rail,Free Travel,15
2022-02,Newcastle Beach Light Rail,School Student,138
2022-02,Newcastle Beach Light Rail,Senior/Pensioner,1837
2022-02,Newcastle Beach Light Rail,Sgl Trip LR Adult,22
2022-02,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,22
2022-02,Newcastle Interchange Light Rail,Adult,4277
2022-02,Newcastle Interchange Light Rail,CTP,4801
2022-02,Newcastle Interchange Light Rail,Child/Youth,535
2022-02,Newcastle Interchange Light Rail,Concession,946
2022-02,Newcastle Interchange Light Rail,Day Pass without SAF,1
2022-02,Newcastle Interchange Light Rail,Employee,86
2022-02,Newcastle Interchange Light Rail,Free Travel,55
2022-02,Newcastle Interchange Light Rail,School Student,337
2022-02,Newcastle Interchange Light Rail,Senior/Pensioner,3368
2022-02,Newcastle Interchange Light Rail,Sgl Trip LR Adult,31
2022-02,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,18
2022-02,Queens Wharf Light Rail,Adult,1560
2022-02,Queens Wharf Light Rail,CTP,2102
2022-02,Queens Wharf Light Rail,Child/Youth,256
2022-02,Queens Wharf Light Rail,Concession,243
2022-02,Queens Wharf Light Rail,Day Pass without SAF,1
2022-02,Queens Wharf Light Rail,Employee,61
2022-02,Queens Wharf Light Rail,Free Travel,36
2022-02,Queens Wharf Light Rail,School Student,316
2022-02,Queens Wharf Light Rail,Senior/Pensioner,2115
2022-02,Queens Wharf Light Rail,Sgl Trip LR Adult,7
2022-02,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,14
2022-03,Civic Light Rail,Adult,3141
2022-03,Civic Light Rail,CTP,3759
2022-03,Civic Light Rail,Child/Youth,278
2022-03,Civic Light Rail,Concession,2066
2022-03,Civic Light Rail,Employee,33
2022-03,Civic Light Rail,Free Travel,43
2022-03,Civic Light Rail,School Student,59
2022-03,Civic Light Rail,Senior/Pensioner,1709
2022-03,Civic Light Rail,Sgl Trip LR Adult,35
2022-03,Civic Light Rail,Sgl Trip LR Child/Youth,8
2022-03,Crown Street Light Rail,Adult,907
2022-03,Crown Street Light Rail,CTP,1682
2022-03,Crown Street Light Rail,Child/Youth,89
2022-03,Crown Street Light Rail,Concession,112
2022-03,Crown Street Light Rail,Employee,18
2022-03,Crown Street Light Rail,Free Travel,9
2022-03,Crown Street Light Rail,School Student,7
2022-03,Crown Street Light Rail,Senior/Pensioner,807
2022-03,Crown Street Light Rail,Sgl Trip LR Adult,6
2022-03,Crown Street Light Rail,Sgl Trip LR Child/Youth,1
2022-03,Honeysuckle Light Rail,Adult,1770
2022-03,Honeysuckle Light Rail,CTP,2129
2022-03,Honeysuckle Light Rail,Child/Youth,164
2022-03,Honeysuckle Light Rail,Concession,500
2022-03,Honeysuckle Light Rail,Day Pass without SAF,1
2022-03,Honeysuckle Light Rail,Employee,80
2022-03,Honeysuckle Light Rail,Free Travel,54
2022-03,Honeysuckle Light Rail,School Student,335
2022-03,Honeysuckle Light Rail,Senior/Pensioner,1491
2022-03,Honeysuckle Light Rail,Sgl Trip LR Adult,4
2022-03,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,1
2022-03,Newcastle Beach Light Rail,Adult,1735
2022-03,Newcastle Beach Light Rail,CTP,2659
2022-03,Newcastle Beach Light Rail,Child/Youth,198
2022-03,Newcastle Beach Light Rail,Concession,243
2022-03,Newcastle Beach Light Rail,Employee,27
2022-03,Newcastle Beach Light Rail,Free Travel,16
2022-03,Newcastle Beach Light Rail,School Student,102
2022-03,Newcastle Beach Light Rail,Senior/Pensioner,1836
2022-03,Newcastle Beach Light Rail,Sgl Trip LR Adult,22
2022-03,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,12
2022-03,Newcastle Interchange Light Rail,Adult,5945
2022-03,Newcastle Interchange Light Rail,CTP,6694
2022-03,Newcastle Interchange Light Rail,Child/Youth,452
2022-03,Newcastle Interchange Light Rail,Concession,2512
2022-03,Newcastle Interchange Light Rail,Day Pass without SAF,3
2022-03,Newcastle Interchange Light Rail,Employee,104
2022-03,Newcastle Interchange Light Rail,Free Travel,78
2022-03,Newcastle Interchange Light Rail,School Student,299
2022-03,Newcastle Interchange Light Rail,Senior/Pensioner,4092
2022-03,Newcastle Interchange Light Rail,Sgl Trip LR Adult,46
2022-03,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,18
2022-03,Queens Wharf Light Rail,Adult,2168
2022-03,Queens Wharf Light Rail,CTP,2551
2022-03,Queens Wharf Light Rail,Child/Youth,191
2022-03,Queens Wharf Light Rail,Concession,407
2022-03,Queens Wharf Light Rail,Day Pass without SAF,1
2022-03,Queens Wharf Light Rail,Employee,48
2022-03,Queens Wharf Light Rail,Free Travel,83
2022-03,Queens Wharf Light Rail,School Student,260
2022-03,Queens Wharf Light Rail,Senior/Pensioner,2376
2022-03,Queens Wharf Light Rail,Sgl Trip LR Adult,16
2022-03,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,7
2022-04,Civic Light Rail,Adult,3960
2022-04,Civic Light Rail,CTP,3651
2022-04,Civic Light Rail,Child/Youth,704
2022-04,Civic Light Rail,Concession,1100
2022-04,Civic Light Rail,Employee,33
2022-04,Civic Light Rail,Free Travel,43
2022-04,Civic Light Rail,School Student,39
2022-04,Civic Light Rail,Senior/Pensioner,2010
2022-04,Civic Light Rail,Sgl Trip LR Adult,12
2022-04,Civic Light Rail,Sgl Trip LR Child/Youth,10
2022-04,Crown Street Light Rail,Adult,1596
2022-04,Crown Street Light Rail,CTP,1746
2022-04,Crown Street Light Rail,Child/Youth,294
2022-04,Crown Street Light Rail,Concession,107
2022-04,Crown Street Light Rail,Employee,31
2022-04,Crown Street Light Rail,Free Travel,14
2022-04,Crown Street Light Rail,School Student,3
2022-04,Crown Street Light Rail,Senior/Pensioner,1025
2022-04,Crown Street Light Rail,Sgl Trip LR Adult,9
2022-04,Crown Street Light Rail,Sgl Trip LR Child/Youth,3
2022-04,Honeysuckle Light Rail,Adult,2101
2022-04,Honeysuckle Light Rail,CTP,2052
2022-04,Honeysuckle Light Rail,Child/Youth,460
2022-04,Honeysuckle Light Rail,Concession,287
2022-04,Honeysuckle Light Rail,Employee,68
2022-04,Honeysuckle Light Rail,Free Travel,31
2022-04,Honeysuckle Light Rail,School Student,144
2022-04,Honeysuckle Light Rail,Senior/Pensioner,1698
2022-04,Honeysuckle Light Rail,Sgl Trip LR Adult,9
2022-04,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,9
2022-04,Newcastle Beach Light Rail,Adult,4039
2022-04,Newcastle Beach Light Rail,CTP,3154
2022-04,Newcastle Beach Light Rail,Child/Youth,1034
2022-04,Newcastle Beach Light Rail,Concession,232
2022-04,Newcastle Beach Light Rail,Employee,60
2022-04,Newcastle Beach Light Rail,Free Travel,16
2022-04,Newcastle Beach Light Rail,School Student,49
2022-04,Newcastle Beach Light Rail,Senior/Pensioner,2617
2022-04,Newcastle Beach Light Rail,Sgl Trip LR Adult,23
2022-04,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,16
2022-04,Newcastle Interchange Light Rail,Adult,9556
2022-04,Newcastle Interchange Light Rail,CTP,7276
2022-04,Newcastle Interchange Light Rail,Child/Youth,1945
2022-04,Newcastle Interchange Light Rail,Concession,1438
2022-04,Newcastle Interchange Light Rail,Employee,124
2022-04,Newcastle Interchange Light Rail,Free Travel,76
2022-04,Newcastle Interchange Light Rail,School Student,130
2022-04,Newcastle Interchange Light Rail,Senior/Pensioner,5434
2022-04,Newcastle Interchange Light Rail,Sgl Trip LR Adult,47
2022-04,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,46
2022-04,Queens Wharf Light Rail,Adult,3706
2022-04,Queens Wharf Light Rail,CTP,2981
2022-04,Queens Wharf Light Rail,Child/Youth,982
2022-04,Queens Wharf Light Rail,Concession,377
2022-04,Queens Wharf Light Rail,Employee,52
2022-04,Queens Wharf Light Rail,Free Travel,58
2022-04,Queens Wharf Light Rail,School Student,89
2022-04,Queens Wharf Light Rail,Senior/Pensioner,2939
2022-04,Queens Wharf Light Rail,Sgl Trip LR Adult,13
2022-04,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,8
2022-05,Civic Light Rail,Adult,3647
2022-05,Civic Light Rail,CTP,4000
2022-05,Civic Light Rail,Child/Youth,282
2022-05,Civic Light Rail,Concession,1875
2022-05,Civic Light Rail,Day Pass without SAF,2
2022-05,Civic Light Rail,Employee,55
2022-05,Civic Light Rail,Free Travel,49
2022-05,Civic Light Rail,School Student,90
2022-05,Civic Light Rail,Senior/Pensioner,2043
2022-05,Civic Light Rail,Sgl Trip LR Adult,23
2022-05,Civic Light Rail,Sgl Trip LR Child/Youth,13
2022-05,Crown Street Light Rail,Adult,1205
2022-05,Crown Street Light Rail,CTP,1736
2022-05,Crown Street Light Rail,Child/Youth,113
2022-05,Crown Street Light Rail,Concession,129
2022-05,Crown Street Light Rail,Employee,29
2022-05,Crown Street Light Rail,Free Travel,25
2022-05,Crown Street Light Rail,School Student,19
2022-05,Crown Street Light Rail,Senior/Pensioner,1051
2022-05,Crown Street Light Rail,Sgl Trip LR Adult,7
2022-05,Crown Street Light Rail,Sgl Trip LR Child/Youth,7
2022-05,Honeysuckle Light Rail,Adult,1843
2022-05,Honeysuckle Light Rail,CTP,2207
2022-05,Honeysuckle Light Rail,Child/Youth,192
2022-05,Honeysuckle Light Rail,Concession,521
2022-05,Honeysuckle Light Rail,Day Pass without SAF,5
2022-05,Honeysuckle Light Rail,Employee,54
2022-05,Honeysuckle Light Rail,Free Travel,36
2022-05,Honeysuckle Light Rail,School Student,278
2022-05,Honeysuckle Light Rail,Senior/Pensioner,1774
2022-05,Honeysuckle Light Rail,Sgl Trip LR Adult,14
2022-05,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,2
2022-05,Newcastle Beach Light Rail,Adult,2011
2022-05,Newcastle Beach Light Rail,CTP,2662
2022-05,Newcastle Beach Light Rail,Child/Youth,215
2022-05,Newcastle Beach Light Rail,Concession,252
2022-05,Newcastle Beach Light Rail,Day Pass without SAF,1
2022-05,Newcastle Beach Light Rail,Employee,38
2022-05,Newcastle Beach Light Rail,Free Travel,22
2022-05,Newcastle Beach Light Rail,School Student,113
2022-05,Newcastle Beach Light Rail,Senior/Pensioner,2119
2022-05,Newcastle Beach Light Rail,Sgl Trip LR Adult,21
2022-05,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,8
2022-05,Newcastle Interchange Light Rail,Adult,7183
2022-05,Newcastle Interchange Light Rail,CTP,7384
2022-05,Newcastle Interchange Light Rail,Child/Youth,547
2022-05,Newcastle Interchange Light Rail,Concession,2449
2022-05,Newcastle Interchange Light Rail,Employee,108
2022-05,Newcastle Interchange Light Rail,Free Travel,86
2022-05,Newcastle Interchange Light Rail,School Student,356
2022-05,Newcastle Interchange Light Rail,Senior/Pensioner,5081
2022-05,Newcastle Interchange Light Rail,Sgl Trip LR Adult,45
2022-05,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,27
2022-05,Queens Wharf Light Rail,Adult,2336
2022-05,Queens Wharf Light Rail,CTP,2712
2022-05,Queens Wharf Light Rail,Child/Youth,240
2022-05,Queens Wharf Light Rail,Concession,456
2022-05,Queens Wharf Light Rail,Day Pass without SAF,2
2022-05,Queens Wharf Light Rail,Employee,42
2022-05,Queens Wharf Light Rail,Free Travel,79
2022-05,Queens Wharf Light Rail,School Student,263
2022-05,Queens Wharf Light Rail,Senior/Pensioner,2754
2022-05,Queens Wharf Light Rail,Sgl Trip LR Adult,7
2022-05,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,3
2022-06,Civic Light Rail,Adult,3270
2022-06,Civic Light Rail,CTP,3204
2022-06,Civic Light Rail,Child/Youth,240
2022-06,Civic Light Rail,Concession,511
2022-06,Civic Light Rail,Employee,42
2022-06,Civic Light Rail,Free Travel,44
2022-06,Civic Light Rail,School Student,66
2022-06,Civic Light Rail,Senior/Pensioner,1721
2022-06,Civic Light Rail,Sgl Trip LR Adult,11
2022-06,Civic Light Rail,Sgl Trip LR Child/Youth,7
2022-06,Crown Street Light Rail,Adult,1260
2022-06,Crown Street Light Rail,CTP,1764
2022-06,Crown Street Light Rail,Child/Youth,93
2022-06,Crown Street Light Rail,Concession,119
2022-06,Crown Street Light Rail,Day Pass without SAF,1
2022-06,Crown Street Light Rail,Employee,37
2022-06,Crown Street Light Rail,Free Travel,16
2022-06,Crown Street Light Rail,School Student,27
2022-06,Crown Street Light Rail,Senior/Pensioner,1038
2022-06,Crown Street Light Rail,Sgl Trip LR Adult,14
2022-06,Crown Street Light Rail,Sgl Trip LR Child/Youth,9
2022-06,Honeysuckle Light Rail,Adult,1785
2022-06,Honeysuckle Light Rail,CTP,2236
2022-06,Honeysuckle Light Rail,Child/Youth,171
2022-06,Honeysuckle Light Rail,Concession,292
2022-06,Honeysuckle Light Rail,Day Pass without SAF,1
2022-06,Honeysuckle Light Rail,Employee,51
2022-06,Honeysuckle Light Rail,Free Travel,42
