Year_Month,Location,Card_type,Trip
2019-04,Newcastle Beach Light Rail,CTP,1119
2019-04,Newcastle Beach Light Rail,Child/Youth,2080
2019-04,Newcastle Beach Light Rail,Concession,593
2019-04,Newcastle Beach Light Rail,Employee,25
2019-04,Newcastle Beach Light Rail,Free Travel,71
2019-04,Newcastle Beach Light Rail,School Student,94
2019-04,Newcastle Beach Light Rail,Senior/Pensioner,4882
2019-04,Newcastle Beach Light Rail,Sgl Trip LR Adult,373
2019-04,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,254
2019-04,Newcastle Interchange Light Rail,Adult,22559
2019-04,Newcastle Interchange Light Rail,CTP,1669
2019-04,Newcastle Interchange Light Rail,Child/Youth,3732
2019-04,Newcastle Interchange Light Rail,Concession,2997
2019-04,Newcastle Interchange Light Rail,Day Pass without SAF,1
2019-04,Newcastle Interchange Light Rail,Employee,131
2019-04,Newcastle Interchange Light Rail,Free Travel,145
2019-04,Newcastle Interchange Light Rail,School Student,152
2019-04,Newcastle Interchange Light Rail,Senior/Pensioner,9881
2019-04,Newcastle Interchange Light Rail,Sgl Trip LR Adult,574
2019-04,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,339
2019-04,Queens Wharf Light Rail,Adult,7539
2019-04,Queens Wharf Light Rail,CTP,657
2019-04,Queens Wharf Light Rail,Child/Youth,1757
2019-04,Queens Wharf Light Rail,Concession,581
2019-04,Queens Wharf Light Rail,Day Pass without SAF,1
2019-04,Queens Wharf Light Rail,Employee,20
2019-04,Queens Wharf Light Rail,Free Travel,86
2019-04,Queens Wharf Light Rail,School Student,257
2019-04,Queens Wharf Light Rail,Senior/Pensioner,4834
2019-04,Queens Wharf Light Rail,Sgl Trip LR Adult,141
2019-04,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,135
2019-05,Civic Light Rail,Adult,9905
2019-05,Civic Light Rail,CTP,983
2019-05,Civic Light Rail,Child/Youth,552
2019-05,Civic Light Rail,Concession,3281
2019-05,Civic Light Rail,Employee,36
2019-05,Civic Light Rail,Free Travel,76
2019-05,Civic Light Rail,School Student,88
2019-05,Civic Light Rail,Senior/Pensioner,2734
2019-05,Civic Light Rail,Sgl Trip LR Adult,95
2019-05,Civic Light Rail,Sgl Trip LR Child/Youth,29
2019-05,Crown Street Light Rail,Adult,3773
2019-05,Crown Street Light Rail,CTP,470
2019-05,Crown Street Light Rail,Child/Youth,244
2019-05,Crown Street Light Rail,Concession,324
2019-05,Crown Street Light Rail,Employee,65
2019-05,Crown Street Light Rail,Free Travel,30
2019-05,Crown Street Light Rail,School Student,42
2019-05,Crown Street Light Rail,Senior/Pensioner,1624
2019-05,Crown Street Light Rail,Sgl Trip LR Adult,39
2019-05,Crown Street Light Rail,Sgl Trip LR Child/Youth,21
2019-05,Honeysuckle Light Rail,Adult,6585
2019-05,Honeysuckle Light Rail,CTP,784
2019-05,Honeysuckle Light Rail,Child/Youth,555
2019-05,Honeysuckle Light Rail,Concession,736
2019-05,Honeysuckle Light Rail,Day Pass without SAF,3
2019-05,Honeysuckle Light Rail,Employee,46
2019-05,Honeysuckle Light Rail,Free Travel,62
2019-05,Honeysuckle Light Rail,School Student,401
2019-05,Honeysuckle Light Rail,Senior/Pensioner,2481
2019-05,Honeysuckle Light Rail,Sgl Trip LR Adult,71
2019-05,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,22
2019-05,Newcastle Beach Light Rail,Adult,6869
2019-05,Newcastle Beach Light Rail,CTP,981
2019-05,Newcastle Beach Light Rail,Child/Youth,846
2019-05,Newcastle Beach Light Rail,Concession,667
2019-05,Newcastle Beach Light Rail,Employee,23
2019-05,Newcastle Beach Light Rail,Free Travel,43
2019-05,Newcastle Beach Light Rail,School Student,204
2019-05,Newcastle Beach Light Rail,Senior/Pensioner,4147
2019-05,Newcastle Beach Light Rail,Sgl Trip LR Adult,185
2019-05,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,83
2019-05,Newcastle Interchange Light Rail,Adult,21839
