from_stop,to_stop,from_name,to_name,from_modes,to_modes,straight_distance_m,walk_distance_m,walk_time_s,is_sheltered,requires_road_crossing,signalised_crossing_delay_s,total_transfer_time_s,in_interchange_group,source
nisc001:2305152,nisc001:2305169,Grandview Rd after Lookout Rd,Lookout Rd at Grandview Rd,other,other,68.4,85.4,68.4,0,1,22,90.4,0,modelled
nisc001:2305153,nisc001:2305154,Grandview Rd at Marshall St,37 Grandview Rd,other,other,131.3,164.1,131.3,0,1,22,153.3,0,modelled
nisc001:2305153,nisc001:2305164,Grandview Rd at Marshall St,42 Grandview Rd,other,other,120.9,151.2,120.9,0,1,22,142.9,0,modelled
nisc001:2305153,nisc001:2305165,Grandview Rd at Marshall St,Grandview Rd opp Marshall St,other,other,23.6,29.6,23.6,0,0,0,23.6,0,modelled
nisc001:2305154,nisc001:2305164,37 Grandview Rd,42 Grandview Rd,other,other,26.6,33.2,26.6,0,0,0,26.6,0,modelled
nisc001:2305155,nisc001:2305163,Grandview Rd at Mountain View Pde,Grandview Rd opp Mountain View Pde,other,other,19.6,24.5,19.6,0,0,0,19.6,0,modelled
nisc001:2305156,nisc001:2305162,Grandview Rd opp Elbrook Dr,Grandview Rd before Elbrook Dr,other,other,21.8,27.2,21.8,0,0,0,21.8,0,modelled
nisc001:2305157,nisc001:2305158,Grandview Rd before Clepham St,Holly Cct opp Eskdale Cl,other,other,129.5,161.9,129.5,0,1,22,151.5,0,modelled
nisc001:2305157,nisc001:2305161,Grandview Rd before Clepham St,Walkern Rd at Bowness St,other,other,136.9,171.2,136.9,0,1,22,158.9,0,modelled
nisc001:2305164,nisc001:2305165,42 Grandview Rd,Grandview Rd opp Marshall St,other,other,140.1,175.1,140.1,0,1,22,162.1,0,modelled
nisc001:2305166,nisc001:2305169,Grandview Rd before Lookout Rd,Lookout Rd at Grandview Rd,other,other,66.6,83.3,66.6,0,1,22,88.6,0,modelled
