stop_id,stop_name,stop_lat,stop_lon,modes_served,n_routes,location_type,parent_station,platform_geom,shelter,seating,real_time_info,step_free,platform_height_mm,interchange_group_id,attribute_source
nisc001:228169,Ungala Rd before Kolang St,-33.078515,151.655371,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228170,Ungala Rd before Tirriki St,-33.076829,151.655439,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228171,Ungala Rd before Carawa St,-33.074426,151.655538,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228172,Ungala Rd before Mallawa St,-33.07126,151.655941,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228173,Awabakal Ave at Cudgee St,-33.068697,151.654127,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228181,Bowman St opp Gray St,-33.094831,151.638591,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228182,Bowman St at Alexander Pl,-33.096151,151.639715,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228183,Park Ave at Caldwell St,-33.098065,151.641711,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228184,Park Ave opp Caves Beach Tennis Club,-33.09958,151.641625,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228185,137 Park Ave,-33.100865,151.641473,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228186,Park Ave at Civic Ave,-33.102503,151.641302,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228187,Park Ave opp Swansea High School,-33.103886,151.641162,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228188,Park Ave at Middle St,-33.107014,151.641055,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228189,Park Ave opp Ocean View Pde,-33.109829,151.642602,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228190,Park Ave before Caves Beach Rd,-33.110003,151.644883,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228191,Caves Beach Rd at Middle St,-33.107168,151.645135,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228192,Caves Beach Rd opp Mawson Cl,-33.104105,151.645097,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228193,Caves Beach Rd at Phillip St,-33.102256,151.645322,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228194,Caves Beach Rd before Caldwell St,-33.09915,151.645574,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228195,Northcote Ave before Ross St,-33.098272,151.64753,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228196,Northcote Ave opp Parbury Pl,-33.098076,151.649871,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228197,Northcote Ave opp Francis St,-33.096987,151.653422,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228198,Northcote Ave at Lambton Pde,-33.095795,151.655764,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228199,Lambton Pde at Hamilton St,-33.092582,151.658499,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228211,Macquarie Rd before Hillsborough Rd,-32.965919,151.652724,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228212,Macquarie Rd after Medcalf St,-32.965949,151.652446,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228215,Medcalf St at Walker St,-32.967004,151.648944,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228216,Medcalf St at Albert St,-32.965928,151.644689,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228217,Medcalf St opp Biddabah Public School,-32.966767,151.64305,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228218,Medcalf St at Vincent St,-32.96824,151.640513,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228219,The Esplanade before Seaman Ave,-32.970845,151.638807,other,4,,,,-1,-1,-1,-1,0,,assumed
