SA1_CODE_2021,zone_tier,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
11103122401,core,0,3,4,0,0,0,0,0,3,13,0,0,5,0,4,9,5,4,0,29,0,4,10,3,11,3,3,5,0,35,0,0,15,7,6,6,0,5,0,31,0,0,5,4,5,11,7,0,0,34,0,0,3,5,4,3,0,0,0,27,0,0,12,17,11,5,0,0,0,50,0,0,7,4,3,3,0,0,0,14,0,0,0,14,11,4,0,0,0,31,0,0,6,0,0,0,0,0,0,15,20,23,62,69,68,70,44,25,22,395
11103122402,core,0,10,3,0,0,0,13,3,0,28,0,0,0,3,0,3,3,0,0,17,0,8,8,6,4,3,4,0,0,27,0,0,4,3,5,4,3,0,0,27,0,0,3,6,6,3,0,0,0,17,0,0,0,5,3,0,0,0,0,18,0,0,7,5,10,10,0,0,0,33,0,0,0,0,9,0,0,0,0,9,0,0,3,3,8,3,0,0,0,19,0,0,3,0,5,5,0,0,0,18,21,47,42,40,63,46,47,15,6,326
11103122403,core,0,0,3,3,0,0,0,0,0,14,0,0,5,4,5,0,6,6,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,7,3,16,18,29,20,21,10,0,135,18,11,36,39,80,81,83,46,8,398
11103122404,core,0,8,0,0,5,0,0,0,0,23,0,3,3,0,0,0,3,0,0,16,0,8,6,8,3,3,7,0,0,35,0,0,6,7,4,5,8,0,0,29,0,0,4,4,0,0,3,0,0,19,0,0,4,0,0,0,0,0,0,6,0,0,10,7,4,0,6,0,0,31,0,0,0,5,0,0,0,0,0,11,0,0,0,3,4,0,0,0,0,8,0,4,14,10,26,18,6,9,4,90,17,37,73,65,85,76,47,43,21,456
11103122405,core,0,3,3,0,3,3,0,3,0,13,0,0,4,0,0,4,0,0,0,13,0,0,7,4,3,5,0,0,0,14,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,4,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,9,9,7,5,3,3,49,21,14,41,56,61,60,24,23,6,308
11103122406,core,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,0,0,3,0,3,5,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,11,6,5,3,4,0,0,49,26,15,45,31,22,10,15,0,0,170
11103122407,core,0,5,15,0,0,0,9,10,4,42,0,11,16,7,6,4,5,11,3,52,0,5,14,5,10,4,12,4,3,56,0,6,15,3,7,7,4,3,0,47,0,5,8,3,0,4,4,0,0,23,0,0,16,3,5,0,0,3,0,25,0,0,19,10,14,5,5,0,0,57,0,0,0,0,3,0,3,0,0,5,0,0,0,0,3,4,0,3,0,17,3,0,10,0,4,4,4,0,6,35,11,48,137,51,49,64,80,78,55,564
11103122408,core,0,0,3,3,0,0,0,0,0,9,0,3,3,0,4,3,0,0,0,21,0,0,0,4,0,0,0,0,0,7,0,0,8,0,0,3,0,0,0,11,0,0,6,0,6,0,0,0,0,16,0,0,4,0,4,0,0,0,0,7,0,0,7,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,11,13,40,18,31,29,14,3,9,173
11103122409,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,9
11103122410,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
