SA1_CODE_2021,zone_tier,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10602111604,core,..,36,36,59,0,60,32,0,32,52,0,52,18,0,18,8,0,8,158,41,194
10602111605,core,..,21,21,59,3,64,38,0,38,36,0,36,10,0,10,3,0,3,145,24,170
10602111606,core,..,22,22,67,3,65,59,0,59,101,0,101,48,0,49,18,0,18,297,27,326
10602111607,core,..,28,28,21,0,26,17,0,17,12,0,12,4,0,4,0,0,0,49,28,83
10602111608,core,..,37,37,56,0,56,28,0,28,15,0,15,13,0,13,4,0,4,113,41,157
10602111609,core,..,16,16,33,0,36,25,0,25,19,0,19,14,0,14,0,0,0,86,20,108
10602111610,core,..,42,42,59,7,60,27,0,27,30,0,30,12,0,12,3,0,3,125,45,175
10602111611,core,..,29,29,24,0,24,12,0,12,14,0,14,5,0,5,0,0,0,63,29,91
10602111612,core,..,52,52,100,3,105,53,0,53,75,0,73,23,0,23,10,0,10,267,55,321
10602111613,core,..,38,38,75,4,75,38,0,39,53,0,53,20,0,20,11,0,11,193,42,231
10602111614,core,..,35,35,80,6,84,25,0,25,28,0,28,17,0,17,9,0,9,147,44,189
10602111615,core,..,28,28,62,0,62,29,0,29,28,0,32,16,0,16,12,0,12,144,28,173
10602111617,core,..,14,14,45,4,51,32,0,32,38,0,34,13,0,13,6,0,6,136,17,150
10602111618,core,..,17,17,34,0,38,25,0,25,37,0,37,19,0,19,3,0,3,123,23,145
10602161401,core,..,51,51,33,4,35,22,0,26,11,0,11,7,0,7,5,0,5,82,55,134
10602161402,core,..,7,7,20,0,20,20,0,20,23,0,23,11,0,11,6,0,6,84,7,99
10602161403,core,..,68,68,44,6,55,27,0,29,14,0,16,3,0,3,8,0,8,100,77,176
10602161404,core,..,17,17,24,4,29,7,0,7,9,0,9,10,0,10,3,0,3,53,21,77
10602161405,core,..,134,134,71,7,80,20,0,22,19,0,19,5,0,5,0,0,0,121,151,267
10602161406,core,..,16,16,40,0,41,33,0,33,47,0,47,16,0,16,5,0,5,132,14,149
10602161407,core,..,35,35,54,0,59,23,0,23,26,0,26,7,0,7,5,0,5,116,42,157
10602161408,core,..,125,125,80,4,81,37,0,37,24,0,24,10,0,10,6,0,6,158,128,286
10602161409,core,..,38,38,38,5,41,33,3,40,25,0,25,12,0,12,10,0,10,114,43,156
10602161410,core,..,21,21,51,4,51,21,0,21,14,0,14,16,0,16,8,0,8,109,25,130
10602161411,core,..,14,14,48,0,53,30,0,30,30,0,30,15,0,15,6,0,6,122,10,135
10602161412,core,..,73,73,56,3,63,34,6,39,28,0,25,8,0,8,0,0,0,118,84,202
10602161413,core,..,41,41,32,0,36,11,0,11,10,0,10,3,0,3,0,0,0,65,46,111
10602161414,core,..,46,46,50,4,54,26,0,25,22,0,22,5,0,5,4,0,4,100,54,154
10602161415,core,..,21,21,51,3,51,43,0,42,26,0,26,6,0,6,12,0,12,144,21,165
10602161416,core,..,40,40,37,3,45,13,0,13,10,0,10,3,0,3,3,0,3,65,43,116
10602161417,core,..,61,61,51,4,57,25,4,21,15,0,15,6,0,6,4,0,4,99,62,160
10602161418,core,..,17,17,44,0,44,26,0,26,40,0,40,11,0,11,5,0,5,125,17,143
10602161419,core,..,26,26,58,4,65,22,0,22,42,0,42,18,0,18,12,0,12,153,33,186
10602161420,core,..,23,23,54,0,54,29,0,29,20,0,20,13,0,13,0,0,0,120,23,141
10602161421,core,..,8,8,15,0,10,19,0,19,32,0,32,8,0,8,6,0,6,80,12,86
10602161422,core,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
10602161423,core,..,20,20,25,0,25,20,0,17,18,0,18,11,0,6,7,0,7,77,23,104
10602161424,core,..,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,10,0,10
10602161425,core,..,20,20,40,0,40,18,0,18,15,0,15,5,0,5,4,0,4,82,24,107
10602161426,core,..,69,69,40,0,40,28,0,28,0,0,0,0,0,0,0,0,0,69,73,143
10602161427,core,..,34,34,56,15,72,37,0,39,41,0,41,15,0,17,8,0,8,157,53,206
