POW_SA2_CODE_2021,zone_tier,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
111031226,core,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,4,0,5,8,5,9,0,0,0,4,0,4,0,0,0,0,0,0,12,0,16,9,4,13,6,11,16,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,15,3,20,15,0,18,0,0,4,5,0,8,4,0,4,63,38,102,0,0,0,0,3,3,0,0,0,0,0,0,6,5,5,0,9,9,0,0,0,31,11,41,22,9,23,124,18,142,179,32,210,0,0,0,5,4,6,42,5,48,0,4,6,9,0,10,3,6,4,0,0,0,57,19,79,0,0,0,0,0,0,3,0,0,105,122,221,7,23,37,0,0,0,112,149,265,0,0,0,0,0,0,46,78,121,46,78,121,0,0,0,85,10,97,0,0,4,0,0,0,0,4,3,0,0
111031227,core,0,0,0,0,0,3,0,0,0,0,0,5,4,3,6,5,0,5,9,9,11,50,0,55,77,14,90,0,0,0,4,0,4,0,0,0,4,0,9,135,19,154,69,11,76,17,0,18,17,6,26,8,4,13,13,0,14,0,0,0,37,12,47,9,0,8,3,0,0,17,0,17,13,5,20,618,86,704,264,29,297,13,0,13,51,17,63,13,4,17,1157,187,1342,0,0,0,18,5,23,0,0,0,18,0,13,11,0,15,49,8,56,36,10,44,137,32,165,106,45,155,442,68,509,723,154,877,6,5,13,48,4,46,48,10,62,5,3,6,9,8,16,16,15,31,0,0,0,134,44,175,11,8,22,39,9,44,13,14,33,178,217,394,138,109,245,0,0,0,383,364,742,0,0,0,22,29,46,243,246,489,262,277,538,16,0,14,118,17,140,222,26,251,4,0,8,8,5,14,0,0
111031228,core,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,5,3,5,11,17,27,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,28,22,55,0,0,0,3,0,3,0,0,0,4,4,9,3,0,3,11,4,10,4,0,6,95,4,101,5,4,12,155,23,183,270,40,304,0,0,0,0,0,0,5,0,4,0,0,0,0,8,8,0,9,4,0,0,0,8,13,20,6,11,16,0,0,0,4,0,7,94,90,181,28,117,149,0,12,10,137,227,359,0,0,0,20,24,42,243,271,517,266,294,562,3,0,4,15,4,18,3,0,3,0,0,0,5,0,5,0,0
111031229,core,0,0,0,7,0,15,0,0,0,0,0,0,0,0,4,5,0,5,18,6,23,6,0,6,168,121,293,3,0,3,17,5,22,0,0,0,0,7,7,194,131,329,4,0,4,8,25,33,14,4,19,5,8,7,0,0,0,0,0,0,4,7,7,0,0,0,0,0,7,0,0,0,3,4,4,9,0,9,3,0,3,0,0,0,8,12,13,6,4,3,59,60,123,0,4,4,18,18,31,0,0,0,230,178,408,4,0,4,254,196,452,43,10,49,327,100,424,48,15,60,273,26,302,686,148,834,0,0,0,9,6,12,19,7,23,0,0,0,0,5,7,3,4,12,9,11,19,39,38,82,6,21,25,7,0,9,4,0,4,238,238,481,167,310,485,0,0,0,433,569,1004,0,3,3,107,167,280,894,976,1869,1002,1144,2150,17,4,21,31,4,38,26,6,30,12,3,16,8,0,9,9,3
111031230,core,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,3,4,0,10,10,0,13,28,0,35,0,0,0,0,0,0,0,0,0,3,0,3,52,0,50,55,8,67,42,12,58,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,30,6,32,193,35,229,0,0,0,26,0,28,127,14,146,115,11,129,143,13,158,38,12,52,3,0,3,784,121,904,3,0,3,3,0,3,3,0,3,0,0,0,71,15,81,78,15,95,21,0,24,33,0,36,91,33,123,82,7,83,226,38,268,0,0,0,106,22,127,7,4,13,0,0,0,0,0,0,0,3,4,0,0,0,128,23,151,0,0,0,4,0,4,0,0,0,0,3,8,3,0,3,0,0,0,10,7,18,0,0,0,0,0,0,21,22,40,21,22,40,11,0,13,133,8,148,151,35,182,10,0,10,40,8,45,0,0
111031231,core,0,0,0,27,27,50,0,0,0,0,0,0,3,0,3,0,0,3,26,30,59,8,0,8,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,10,4,13,50,16,63,25,15,37,3,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,29,11,37,0,0,0,33,6,40,5,0,9,9,0,9,10,0,10,12,0,12,7,0,7,184,57,237,0,0,0,16,0,21,0,0,0,3,0,8,23,21,40,45,27,71,17,0,19,62,10,71,29,10,38,300,45,339,396,62,460,8,0,11,17,3,18,48,14,66,30,11,39,88,31,119,0,3,7,0,0,0,194,65,257,8,0,14,16,3,23,26,6,34,111,103,215,70,176,244,9,0,9,244,293,539,0,3,3,7,16,22,213,189,404,218,206,430,23,6,24,188,39,227,18,3,19,0,0,0,0,0,0,0,0
111031232,core,0,0,0,4,0,4,0,0,0,0,0,0,0,0,6,0,0,0,12,0,10,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,11,5,12,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,22,5,0,8,68,15,82,98,21,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,25,29,53,12,24,40,0,0,0,40,53,93,0,0,0,12,15,24,58,81,138,69,95,159,3,0,3,12,4,15,0,0,0,0,0,0,0,0,0,3,3
111031233,core,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,8,0,7,12,26,35,0,0,0,0,4,3,3,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,6,13,18,5,14,4,0,8,6,0,6,12,5,17,0,0,3,70,46,119,0,0,0,381,113,496,0,0,0,0,0,0,18,5,22,402,121,522,3,0,9,59,12,76,11,6,13,175,27,198,252,44,292,4,0,4,18,0,20,11,6,11,0,0,5,0,0,0,0,4,8,0,4,0,33,19,47,5,10,12,7,0,10,14,6,20,118,123,243,97,165,260,0,0,0,240,307,548,0,0,0,7,18,27,201,252,457,207,266,479,7,0,7,20,8,26,0,0,0,0,0,0,0,3,3,0,0
111031234,core,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,3,0,7,6,11,7,0,7,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,7,0,7,7,21,27,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,266,7,273,18,10,30,6,0,10,0,0,0,9,0,9,332,38,369,0,0,0,87,16,97,0,0,0,29,5,29,0,0,0,115,12,130,17,4,13,63,12,73,37,8,41,204,21,227,318,46,363,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,0,0,0,0,0,0,10,9,13,4,4,7,0,0,0,0,3,4,72,107,178,58,119,171,0,0,0,141,229,372,0,0,0,5,0,4,81,133,219,83,135,221,9,0,9,10,3,15,33,0,36,0,0,0,0,0,0,0,0
111031235,core,0,0,0,3,0,3,0,0,0,0,0,0,14,0,14,0,0,0,20,0,20,15,0,17,20,0,20,0,0,0,5,0,5,5,0,5,5,0,5,46,7,56,38,7,47,19,18,42,3,0,6,0,10,15,9,0,9,0,0,0,13,5,19,0,0,0,11,0,13,0,0,0,10,0,10,18,5,20,24,3,25,41,8,46,35,9,46,10,5,18,232,78,312,3,0,6,5,0,9,0,0,0,18,5,24,4,0,3,30,12,39,27,9,36,190,55,240,35,21,54,299,41,342,546,127,676,10,10,28,54,19,73,74,23,95,22,9,26,21,8,34,24,21,48,3,0,9,210,92,305,15,12,26,154,36,192,28,9,38,44,16,59,54,57,110,9,0,8,300,138,438,0,0,0,26,35,63,168,164,337,194,203,397,19,3,22,76,17,93,315,55,374,3,3,9,0,0,0,3,0
