edge_id,osm_way_id,name,road_class,length_m,corridor_class,is_corridor_trunk,dist_to_alignment_m,oneway_flag,oneway_source,num_lanes_per_dir,num_lanes_source,speed_limit_kmh,speed_limit_source,lane_width_m,lane_width_source,turn_lanes,turn_lanes_source,kerbside_use,kerbside_source,capacity_veh_hr_lane,capacity_source,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,dist_to_base2026_m,scenario_variant_ref
w1455134096,1455134096,,service,9.5,corridor_cross,0,21.0,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,21.0,32.3,32.3,21.0,base2026
w398674344,398674344,Telford Street,residential,11.7,corridor_cross,0,21.9,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,800,imputed_rule,21.9,65.5,65.5,21.9,base2026
w1027599310,1027599310,,service,60.3,corridor_cross,0,22.6,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,22.6,32.9,32.9,22.6,base2026
w327695151,327695151,,service,12.8,corridor_cross,0,24.4,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,24.4,36.5,36.5,24.4,base2026
w1093509513,1093509513,,service,21.0,corridor_cross,0,24.5,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,24.5,10.2,10.2,24.5,base2026
w80503130,80503130,Watt Street,secondary,164.8,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,25.4,0,imputed_rule,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,25.4,21.0,21.0,25.4,base2026
w1368036108,1368036108,Hunter Street,living_street,101.7,corridor_trunk:base2026;corridor_trunk:S2c,1,25.6,1,osm,1.0,osm,10.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,300,imputed_rule,25.6,10.8,10.8,25.6,base2026
w18054130,18054130,Perkins Street,residential,112.5,corridor_cross,0,25.6,1,osm,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,25.6,10.8,10.8,25.6,base2026
w1000972295,1000972295,Steel Street,tertiary,24.9,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,25.8,0,imputed_rule,1.0,imputed_rule,50.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,1200,imputed_rule,25.8,11.3,11.3,25.8,base2026
w902502657,902502657,Scott Street,tertiary,7.0,corridor_trunk:base2026;corridor_trunk:S2c,1,26.2,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,1200,imputed_rule,26.2,78.3,78.3,26.2,base2026
w1103426403,1103426403,,service,22.6,corridor_cross,0,26.3,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,26.3,40.6,40.6,26.3,base2026
w1377205158,1377205158,,service,55.4,corridor_cross,0,26.9,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,26.9,25.0,25.0,26.9,base2026
w243108215,243108215,Civic Lane,service,319.8,corridor_cross,0,27.0,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,27.0,1.8,1.8,27.0,base2026
w523295206,523295206,,service,3.6,corridor_cross,0,29.3,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,29.3,30.5,30.5,29.3,base2026
w327695156,327695156,,service,58.4,corridor_cross,0,29.6,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,29.6,44.8,44.8,29.6,base2026
w955660700,955660700,,service,69.6,corridor_cross,0,32.1,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,32.1,33.5,33.5,32.1,base2026
w243102586,243102586,Argyle Street,residential,121.0,corridor_cross,0,32.2,0,imputed_rule,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,32.2,24.2,24.2,32.2,base2026
