geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_PURPOSE,JOURNEYS_BY_MODE,PCT_OF_TOTAL_JOURNEYS,DISTANCE_BY_PURPOSE,PCT_OF_TOTAL_DISTANCE,JOURNEY_AVG_DISTANCE,JOURNEY_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Social/recreation,33000,15.6,394000,14.4,11.9,19.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Work related business**,9000,4.1,233000,8.5,27.1,26.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Commute,82000,12.4,1573000,22.9,19.1,27.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Education/childcare,70000,10.7,558000,8.1,7.9,19.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Other*,5000,0.7,33000,0.5,7.1,14.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Personal business,63000,9.6,528000,7.7,8.3,16.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Serve passenger,99000,15.1,834000,12.2,8.4,17.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Shopping,101000,15.3,770000,11.2,7.6,15.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Social/recreation,199000,30.1,1678000,24.4,8.4,20.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Work related business,41000,6.2,890000,13.0,21.8,30.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Commute,40000,11.0,882000,21.7,22.1,27.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Education/childcare*,26000,7.2,174000,4.3,6.7,12.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Other**,3000,0.9,40000,1.0,11.9,19.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Personal business*,20000,5.4,121000,3.0,6.1,12.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Serve passenger*,88000,24.3,790000,19.4,8.9,15.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Shopping,57000,15.7,437000,10.7,7.6,13.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Social/recreation*,106000,29.3,970000,23.8,9.1,18.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Work related business*,22000,6.2,660000,16.2,29.4,37.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Commute,72000,13.4,974000,19.8,13.5,23.1,
