geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE,TRIP_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,1720.0,Cessnock,Walk Only,5000,2.7,2.7,2000,0.1,0.3,11.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,4650.0,Lake Macquarie,Bus,22000,3.2,3.3,184000,2.9,8.5,21.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,4650.0,Lake Macquarie,Other,15000,2.1,2.2,149000,2.3,9.9,43.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,4650.0,Lake Macquarie,Train,2000,0.3,0.3,184000,2.9,76.0,67.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,4650.0,Lake Macquarie,Vehicle Driver,402000,57.6,59.6,4284000,67.4,10.7,17.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,4650.0,Lake Macquarie,Vehicle Passenger,180000,25.8,26.7,1489000,23.4,8.3,15.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,4650.0,Lake Macquarie,Walk Linked,23000,3.3,,18000,0.3,0.8,9.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,4650.0,Lake Macquarie,Walk Only,54000,7.7,8.0,44000,0.7,0.8,12.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5050.0,Maitland,Bus,5000,2.3,2.4,31000,1.5,5.8,17.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5050.0,Maitland,Other,2000,0.9,1.0,7000,0.3,2.7,23.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5050.0,Maitland,Train,2000,0.9,1.0,59000,2.9,24.6,30.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5050.0,Maitland,Vehicle Driver,141000,65.3,68.1,1580000,77.6,11.2,17.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5050.0,Maitland,Vehicle Passenger,41000,19.0,19.8,339000,16.6,8.3,14.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5050.0,Maitland,Walk Linked,9000,4.2,,5000,0.2,0.6,5.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5050.0,Maitland,Walk Only,16000,7.4,7.7,16000,0.8,1.0,18.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5900.0,Newcastle,Bus,24000,4.5,4.8,144000,4.1,6.1,21.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5900.0,Newcastle,Other,21000,4.0,4.2,76000,2.1,3.6,18.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5900.0,Newcastle,Train,4000,0.8,0.8,553000,15.6,145.6,114.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5900.0,Newcastle,Vehicle Driver,303000,57.1,60.7,2228000,62.7,7.4,15.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5900.0,Newcastle,Vehicle Passenger,86000,16.2,17.2,479000,13.5,5.6,13.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,5900.0,Newcastle,Walk Linked,32000,6.0,,20000,0.6,0.6,6.2,
