parking_facility_id,lat,lon,type,osm_parking,capacity_spaces,capacity_source,fee,charge,max_stay_min,access,operator,surface,levels,name,scenario_variant_ref
pw1345308881,-32.8952905,151.7028321,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308882,-32.895323,151.7028325,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308883,-32.8953548,151.702833,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308884,-32.8951937,151.7028289,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308885,-32.8951674,151.7028241,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308889,-32.8954915,151.7027954,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308890,-32.895491,151.7028346,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308891,-32.8954906,151.7028738,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308892,-32.8954902,151.702913,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308893,-32.8954898,151.7029521,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308894,-32.8954894,151.7029913,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308895,-32.8954891,151.7030304,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308896,-32.8954886,151.7030695,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308897,-32.8954882,151.7031087,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308898,-32.8954878,151.7031479,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308899,-32.8954874,151.703187,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308900,-32.895487,151.7032262,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308901,-32.8954866,151.7032654,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308902,-32.8954862,151.7033045,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308903,-32.8954858,151.7033437,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308904,-32.8954854,151.7033829,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308905,-32.895485,151.703422,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308906,-32.8954783,151.7034458,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308907,-32.8953903,151.7032823,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308908,-32.8953902,151.7032556,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308909,-32.8953902,151.7032288,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308910,-32.8953901,151.703202,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308911,-32.8953901,151.7031753,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308912,-32.89539,151.7031485,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308913,-32.89539,151.7031217,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308914,-32.8953874,151.7035147,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308915,-32.8953687,151.7035003,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308916,-32.8953426,151.7034575,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308917,-32.8953239,151.7034448,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308918,-32.8952978,151.7034039,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308919,-32.8952753,151.7033762,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308920,-32.8952531,151.7033484,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308921,-32.8952304,151.7033204,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308922,-32.8952081,151.7032928,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308923,-32.8951857,151.7032653,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308924,-32.8951669,151.7032502,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308925,-32.8951464,151.7032225,offstreet_public,,1,osm,,,,,,,,,base2026
pw161254929,-32.8942703,151.7110236,offstreet_public,surface,,imputed,yes,,,permit,University of Newcastle,gravel,,P15,base2026
pw173542095,-32.8920829,151.7113302,offstreet_public,,,imputed,,,,,,,,,base2026
pw487141766,-32.8926025,151.7108928,offstreet_private,,,imputed,,,,private,,,,,base2026
pw551395479,-32.8948005,151.7121289,offstreet_private,surface,378,osm,no,,,private,University of Newcastle,asphalt,,P14,base2026
pw929958090,-32.8942542,151.7121497,offstreet_public,surface,,imputed,yes,,,yes,University of Newcastle,unpaved,,,base2026
pw929958091,-32.8938522,151.7115714,offstreet_public,surface,,imputed,yes,,,yes,University of Newcastle,unpaved,,,base2026
pw929987173,-32.8953306,151.7116813,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987174,-32.8953174,151.711661,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987175,-32.8953042,151.7116408,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987176,-32.895291,151.7116205,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987177,-32.8952778,151.7116003,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987178,-32.8952646,151.7115801,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987179,-32.8952514,151.7115598,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987180,-32.895225,151.7115193,offstreet_public,,1,osm,,,,,,,,,base2026
pw929987181,-32.8952117,151.7114991,offstreet_public,,1,osm,,,,,,,,,base2026
