node_id,lat,lon,direction,signal_type,ped_phase_flag,button_operated,name
13107993147,-33.0143246,151.6647409,forward,signal,-1,,
5476512067,-33.0083603,151.6428664,forward,signal,-1,,
5565389095,-33.008482,151.6430277,forward,signal,-1,,
10074849587,-33.0081839,151.6431031,forward,signal,-1,,
10074849592,-33.0083164,151.6432692,forward,signal,-1,,
10074849594,-32.9885618,151.637131,forward,signal,-1,,
10074849603,-32.9884506,151.6373735,forward,signal,-1,,
10074849606,-32.9885842,151.637395,backward,signal,-1,,
4409599891,-32.9745199,151.6442889,forward,pedestrian_crossing,-1,,
4409599935,-32.9751083,151.6464509,forward,signal,-1,,
4409599939,-32.9752491,151.6466275,forward,,-1,,
7907110293,-32.9752874,151.6466331,forward,,-1,,
12823321209,-32.9752411,151.6462562,forward,signal,-1,,
4077470138,-32.9705552,151.6381085,forward,signal,-1,,
4077470151,-32.9706323,151.637873,forward,signal,-1,,
11374765126,-32.9708151,151.6381955,forward,signal,-1,,
277083669,-32.9743394,151.644257,forward,pedestrian_crossing,-1,,
7907110378,-32.9744215,151.6477899,forward,,-1,,
7907110381,-32.9743213,151.6479719,forward,,-1,,
12736157031,-32.9714268,151.6497535,forward,signal,-1,,
12736157032,-32.9714742,151.6500362,forward,signal,-1,,
12736157033,-32.9716324,151.6500767,backward,signal,-1,,
12736157034,-32.9716176,151.6497871,forward,signal,-1,,
7547303206,-32.9661578,151.6434643,backward,signal,-1,,
7547303209,-32.966069,151.643633,forward,signal,-1,,
11989946664,-32.9819636,151.668771,forward,,-1,,
11989946665,-32.9820861,151.6685684,forward,,-1,,
12310933916,-32.982135,151.6687895,backward,signal,-1,,
2317884052,-32.9785958,151.6692697,backward,signal,-1,,
12995594081,-32.9788588,151.6692648,forward,signal,-1,,
12995594082,-32.9786998,151.6690885,forward,signal,-1,,
12995594092,-32.9787815,151.6694758,forward,signal,-1,,
7552957943,-32.9687326,151.6517763,forward,,-1,,
12387424826,-32.9685453,151.6519425,forward,signal,-1,,
12387424827,-32.9686988,151.6520289,backward,signal,-1,,
277127221,-32.9653693,151.6562591,backward,signal,-1,,
5005208292,-32.9655184,151.65614,forward,,-1,,
5005208298,-32.9654167,151.6565166,forward,,-1,,
13288424616,-32.9664012,151.6536914,forward,signal,-1,,
13288424617,-32.9664242,151.6539041,forward,signal,-1,,
4999076092,-32.9635644,151.6614539,forward,signal,-1,,
6303043101,-32.963655,151.661072,forward,signal,-1,,
12823321246,-32.963745,151.6613624,forward,signal,-1,,
5371447586,-33.00627,151.6851181,backward,signal,-1,,
11989946645,-33.0060754,151.685079,forward,,-1,,
12550809340,-33.0061512,151.6847359,forward,signal,-1,,
12550809355,-33.0060752,151.6852258,forward,signal,-1,,
