rel_id,restriction,from_way,via_member,to_way,lat,lon,located_by,source,dist_to_base2026_m,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,corridor_flag
8820893,only_left_turn,634694913,4167259435,634694910,-32.7245879,152.141066,via_node,osm,inf,inf,inf,inf,0
8923345,only_left_turn,643748727,6057311988,643748724,-33.067948,151.5265171,via_node,osm,inf,inf,inf,inf,0
8923346,only_right_turn,643748726,347324134,172844364,-33.0679871,151.5268747,via_node,osm,inf,inf,inf,inf,0
9253270,no_right_turn,104604082,1206807300,590870059,-33.0360052,151.6599832,via_node,osm,inf,inf,inf,inf,0
9253271,no_right_turn,131294444,1206807300,104604082,-33.0360052,151.6599832,via_node,osm,inf,inf,inf,inf,0
9446364,no_right_turn,867289053,7800322117,840406410,-32.9399819,151.660448,via_node,osm,inf,inf,inf,3726.3,0
9484576,no_right_turn,926487270,942122549,80790375,-33.2280378,151.4212892,via_node,osm,inf,inf,inf,inf,0
9486511,no_right_turn,1464988001,61750006,24028617,-33.1813171,151.5947468,via_node,osm,inf,inf,inf,inf,0
9498870,no_right_turn,573185808,249343166,553195933,-32.9886373,151.6912187,via_node,osm,inf,inf,inf,inf,0
9498871,no_u_turn,553195934,573185808,553291000,-32.9886373,151.6912187,via_way,osm,inf,inf,inf,inf,0
9643440,no_u_turn,137986972,1512968265,693848741,-33.0953671,151.6297302,via_node,osm,inf,inf,inf,inf,0
9643441,no_right_turn,137986972,1512968265,693848740,-33.0953671,151.6297302,via_node,osm,inf,inf,inf,inf,0
9643442,no_u_turn,138080586,1512968212,693848738,-33.095455,151.6299,via_node,osm,inf,inf,inf,inf,0
9643443,no_u_turn,25381326,1512968205,693848737,-33.0957243,151.6299476,via_node,osm,inf,inf,inf,inf,0
9643444,no_u_turn,693848755,6514384848,693848751,-33.0957686,151.6295452,via_node,osm,inf,inf,inf,inf,0
9728297,only_left_turn,1413447189,417240223,367048220,-32.962155,151.6953933,via_node,osm,inf,inf,inf,inf,0
9745847,no_u_turn,701180900,6585054358,701180899,-32.5607645,151.1743516,via_node,osm,inf,inf,inf,inf,0
9749422,no_right_turn,701410216,6587359893,701410214,-32.7412931,151.5503236,via_node,osm,inf,inf,inf,inf,0
9769017,no_right_turn,1320362328,12174697236,1320362329,-32.9630853,151.6924098,via_node,osm,inf,inf,inf,inf,0
9898442,no_u_turn,584784529,172707741,711978109,-33.026656,151.6617735,via_way,osm,inf,inf,inf,inf,0
9898562,no_u_turn,711984004,6142863552,711984003,-33.2316551,151.5026197,via_node,osm,inf,inf,inf,inf,0
9899527,no_right_turn,401076970,285921958,712064158,-32.9095118,151.7174145,via_node,osm,inf,inf,2226.8,1431.2,0
9908238,only_left_turn,712902751,6702077455,712902743,-33.0639845,151.4656132,via_node,osm,inf,inf,inf,inf,0
9934984,only_straight_on,714956238,6720103151,714956239,-32.8938478,151.7481442,via_node,osm,inf,inf,inf,inf,0
9934985,no_left_turn,714956238,734826627,575707218,-32.8942303,151.7479413,via_node,osm,inf,inf,inf,4090.5,0
9969450,only_straight_on,718620968,4072615484,405034841,-33.2411221,151.4687034,via_node,osm,inf,inf,inf,inf,0
