rel_id,restriction,members
20357056,no_u_turn,way:1491181437:from;way:603524583:to;node:5729205906:via
12561579,no_left_turn,way:551395473:from;node:5325137610:via;way:985471460:to
8164723,no_u_turn,way:574894367:from;way:574894366:to;node:763633717:via
3504687,no_right_turn,way:173567167:from;way:261021416:to;node:287011918:via
8164704,no_right_turn,way:439332206:from;way:173567167:to;node:287011918:via
19904612,no_right_turn,way:173574950:from;node:286621109:via;way:1322351351:to
7157998,no_right_turn,node:3232178361:via;way:486798454:from;way:415283775:to
5617382,no_left_turn,way:260224972:from;way:170988558:to;node:446877360:via
7157997,no_right_turn,node:3232178361:via;way:415283775:from;way:415283774:to
8164742,no_u_turn,way:574895759:from;way:415283774:to;way:415283775:via
19965292,no_u_turn,way:22880857:from;node:13379216324:via;way:1458856304:to
7157990,no_right_turn,way:175719627:from;way:173518133:to;node:1836540024:via
8109815,no_u_turn,way:768031061:from;way:260281411:to;node:2063025986:via
8154304,no_u_turn,way:260281408:from;way:260281406:to;node:2657553466:via
17830738,only_left_turn,way:1277757217:from;node:287012989:via;way:710230380:to
3502675,no_straight_on,way:173492012:from;way:260236849:to;node:2657201546:via
8173641,no_u_turn,way:575707217:via;way:575707218:to;way:710230339:from
8130279,no_u_turn,way:467543848:to;node:287007553:via;way:710230378:from
11264583,no_right_turn,way:739665363:from;node:1835184028:via;way:822222321:to
17831320,only_left_turn,way:1277757218:from;way:418259522:to;node:287012989:via
8180641,no_u_turn,way:912238533:to;node:1843088428:via;way:710230385:from
12390282,no_right_turn,way:24027885:from;node:8481352754:via;way:912997419:to
12390283,no_right_turn,way:912997406:from;node:8481352754:via;way:24027885:to
12395212,no_u_turn,way:773873990:from;node:287006711:via;way:912997423:to
12395213,no_left_turn,way:913333992:from;node:287006711:via;way:913333996:to
12395214,no_right_turn,way:913333997:from;node:287006718:via;way:773873991:to
12395215,no_left_turn,way:913333996:from;node:287006711:via;way:912997423:to
12395216,no_right_turn,way:913333995:from;node:6676908851:via;way:710230329:to
9934985,no_left_turn,way:714956238:from;node:734826627:via;way:575707218:to
