Year_Month,Card_type,Contract_region,Trip
Jul-2017,Adult,NISC 1,109623
Jul-2017,Adult Single Bus Trip 1,NISC 1,8231
Jul-2017,Adult Single Bus Trip 2,NISC 1,7706
Jul-2017,Adult Single Bus Trip 3,NISC 1,2067
Jul-2017,Child/Youth,NISC 1,29492
Jul-2017,Child/Youth Single Bus Trip 1,NISC 1,2722
Jul-2017,Child/Youth Single Bus Trip 2,NISC 1,3098
Jul-2017,Child/Youth Single Bus Trip 3,NISC 1,976
Jul-2017,Concession,NISC 1,30151
Jul-2017,Employee,NISC 1,3030
Jul-2017,Free Travel,NISC 1,1368
Jul-2017,School Student,NISC 1,47977
Jul-2017,Senior/Pensioner,NISC 1,133791
Aug-2017,Adult,NISC 1,119724
Aug-2017,Adult Single Bus Trip 1,NISC 1,8030
Aug-2017,Adult Single Bus Trip 2,NISC 1,7267
Aug-2017,Adult Single Bus Trip 3,NISC 1,1826
Aug-2017,Child/Youth,NISC 1,24265
Aug-2017,Child/Youth Single Bus Trip 1,NISC 1,1731
Aug-2017,Child/Youth Single Bus Trip 2,NISC 1,1665
Aug-2017,Child/Youth Single Bus Trip 3,NISC 1,506
Aug-2017,Concession,NISC 1,43817
Aug-2017,Employee,NISC 1,3123
Aug-2017,Free Travel,NISC 1,1498
Aug-2017,School Student,NISC 1,113964
Aug-2017,Senior/Pensioner,NISC 1,140307
Sep-2017,Adult,NISC 1,109085
Sep-2017,Adult Single Bus Trip 1,NISC 1,7332
Sep-2017,Adult Single Bus Trip 2,NISC 1,6533
Sep-2017,Adult Single Bus Trip 3,NISC 1,1698
Sep-2017,Child/Youth,NISC 1,26485
Sep-2017,Child/Youth Single Bus Trip 1,NISC 1,2036
Sep-2017,Child/Youth Single Bus Trip 2,NISC 1,2443
Sep-2017,Child/Youth Single Bus Trip 3,NISC 1,869
Sep-2017,Concession,NISC 1,34513
Sep-2017,Day Pass without SAF,NISC 1,5
Sep-2017,Employee,NISC 1,3046
Sep-2017,Free Travel,NISC 1,1293
Sep-2017,School Student,NISC 1,72123
Sep-2017,Senior/Pensioner,NISC 1,132505
Oct-2017,Adult,NISC 1,114149
Oct-2017,Adult Single Bus Trip 1,NISC 1,7855
Oct-2017,Adult Single Bus Trip 2,NISC 1,6503
Oct-2017,Adult Single Bus Trip 3,NISC 1,1478
Oct-2017,Child/Youth,NISC 1,25870
Oct-2017,Child/Youth Single Bus Trip 1,NISC 1,1954
Oct-2017,Child/Youth Single Bus Trip 2,NISC 1,2170
Oct-2017,Child/Youth Single Bus Trip 3,NISC 1,710
Oct-2017,Concession,NISC 1,38383
Oct-2017,Day Pass without SAF,NISC 1,5
Oct-2017,Employee,NISC 1,2965
Oct-2017,Free Travel,NISC 1,1418
Oct-2017,School Student,NISC 1,78733
Oct-2017,Senior/Pensioner,NISC 1,135334
Nov-2017,Adult,NISC 1,117439
Nov-2017,Adult Single Bus Trip 1,NISC 1,7717
Nov-2017,Adult Single Bus Trip 2,NISC 1,6838
Nov-2017,Adult Single Bus Trip 3,NISC 1,1766
Nov-2017,Child/Youth,NISC 1,23781
Nov-2017,Child/Youth Single Bus Trip 1,NISC 1,1589
Nov-2017,Child/Youth Single Bus Trip 2,NISC 1,1789
Nov-2017,Child/Youth Single Bus Trip 3,NISC 1,533
Nov-2017,Concession,NISC 1,31782
Nov-2017,Employee,NISC 1,3073
Nov-2017,Free Travel,NISC 1,1278
Nov-2017,School Student,NISC 1,91824
Nov-2017,Senior/Pensioner,NISC 1,137622
Dec-2017,Adult,NISC 1,99536
Dec-2017,Adult Single Bus Trip 1,NISC 1,7600
Dec-2017,Adult Single Bus Trip 2,NISC 1,6591
Dec-2017,Adult Single Bus Trip 3,NISC 1,1752
Dec-2017,Child/Youth,NISC 1,29274
Dec-2017,Child/Youth Single Bus Trip 1,NISC 1,2511
Dec-2017,Child/Youth Single Bus Trip 2,NISC 1,3089
Dec-2017,Child/Youth Single Bus Trip 3,NISC 1,1109
Dec-2017,Concession,NISC 1,23601
Dec-2017,Employee,NISC 1,2633
Dec-2017,Free Travel,NISC 1,1217
Dec-2017,School Student,NISC 1,29369
Dec-2017,Senior/Pensioner,NISC 1,126873
Jan-2018,Adult,NISC 1,96531
Jan-2018,Adult Single Bus Trip 1,NISC 1,7092
Jan-2018,Adult Single Bus Trip 2,NISC 1,5356
Jan-2018,Adult Single Bus Trip 3,NISC 1,1175
Jan-2018,Child/Youth,NISC 1,29213
Jan-2018,Child/Youth Single Bus Trip 1,NISC 1,2283
Jan-2018,Child/Youth Single Bus Trip 2,NISC 1,2768
Jan-2018,Child/Youth Single Bus Trip 3,NISC 1,845
Jan-2018,Concession,NISC 1,22376
Jan-2018,Employee,NISC 1,2515
Jan-2018,Free Travel,NISC 1,1153
Jan-2018,On Demand,NISC 1,232
Jan-2018,Other,NISC 1,24389
Jan-2018,School Student,NISC 1,5461
Jan-2018,Senior/Pensioner,NISC 1,123680
Feb-2018,Adult,NISC 1,111768
Feb-2018,Adult Single Bus Trip 1,NISC 1,6394
Feb-2018,Adult Single Bus Trip 2,NISC 1,5020
Feb-2018,Adult Single Bus Trip 3,NISC 1,981
Feb-2018,Child/Youth,NISC 1,24230
Feb-2018,Child/Youth Single Bus Trip 1,NISC 1,1092
Feb-2018,Child/Youth Single Bus Trip 2,NISC 1,1084
Feb-2018,Child/Youth Single Bus Trip 3,NISC 1,295
Feb-2018,Concession,NISC 1,27641
Feb-2018,Employee,NISC 1,2617
Feb-2018,Free Travel,NISC 1,1060
Feb-2018,On Demand,NISC 1,672
Feb-2018,Other,NISC 1,55421
Feb-2018,School Student,NISC 1,91730
Feb-2018,Senior/Pensioner,NISC 1,121598
Mar-2018,Adult,NISC 1,126554
Mar-2018,Adult Single Bus Trip 1,NISC 1,6995
Mar-2018,Adult Single Bus Trip 2,NISC 1,5173
Mar-2018,Adult Single Bus Trip 3,NISC 1,1085
Mar-2018,Child/Youth,NISC 1,24869
Mar-2018,Child/Youth Single Bus Trip 1,NISC 1,1409
Mar-2018,Child/Youth Single Bus Trip 2,NISC 1,1431
Mar-2018,Child/Youth Single Bus Trip 3,NISC 1,335
Mar-2018,Concession,NISC 1,41041
Mar-2018,Employee,NISC 1,2816
Mar-2018,Free Travel,NISC 1,1174
Mar-2018,On Demand,NISC 1,1049
Mar-2018,Other,NISC 1,64634
Mar-2018,School Student,NISC 1,94826
Mar-2018,Senior/Pensioner,NISC 1,129476
Apr-2018,Adult,NISC 1,111555
Apr-2018,Adult Single Bus Trip 1,NISC 1,6659
Apr-2018,Adult Single Bus Trip 2,NISC 1,4626
Apr-2018,Adult Single Bus Trip 3,NISC 1,902
Apr-2018,Child/Youth,NISC 1,26281
Apr-2018,Child/Youth Single Bus Trip 1,NISC 1,1772
Apr-2018,Child/Youth Single Bus Trip 2,NISC 1,1844
Apr-2018,Child/Youth Single Bus Trip 3,NISC 1,499
Apr-2018,Concession,NISC 1,32420
Apr-2018,Day Pass without SAF,NISC 1,4
Apr-2018,Employee,NISC 1,2647
Apr-2018,Free Travel,NISC 1,944
Apr-2018,On Demand,NISC 1,1319
Apr-2018,Other,NISC 1,41889
Apr-2018,School Student,NISC 1,38610
Apr-2018,Senior/Pensioner,NISC 1,120729
May-2018,Adult,NISC 1,127063
May-2018,Adult Single Bus Trip 1,NISC 1,6734
May-2018,Adult Single Bus Trip 2,NISC 1,4704
May-2018,Adult Single Bus Trip 3,NISC 1,869
May-2018,Child/Youth,NISC 1,23622
May-2018,Child/Youth Single Bus Trip 1,NISC 1,1170
May-2018,Child/Youth Single Bus Trip 2,NISC 1,1280
May-2018,Child/Youth Single Bus Trip 3,NISC 1,303
May-2018,Concession,NISC 1,42298
May-2018,Day Pass without SAF,NISC 1,6
May-2018,Employee,NISC 1,2984
May-2018,Free Travel,NISC 1,1136
May-2018,On Demand,NISC 1,1782
May-2018,Other,NISC 1,66092
May-2018,School Student,NISC 1,101787
May-2018,Senior/Pensioner,NISC 1,138166
Jun-2018,Adult,NISC 1,109123
Jun-2018,Adult Single Bus Trip 1,NISC 1,6148
Jun-2018,Adult Single Bus Trip 2,NISC 1,3999
Jun-2018,Adult Single Bus Trip 3,NISC 1,796
Jun-2018,Child/Youth,NISC 1,19999
Jun-2018,Child/Youth Single Bus Trip 1,NISC 1,1097
Jun-2018,Child/Youth Single Bus Trip 2,NISC 1,1124
Jun-2018,Child/Youth Single Bus Trip 3,NISC 1,293
Jun-2018,Concession,NISC 1,30116
Jun-2018,Day Pass without SAF,NISC 1,7
Jun-2018,Employee,NISC 1,2630
Jun-2018,Free Travel,NISC 1,893
Jun-2018,On Demand,NISC 1,1896
Jun-2018,Other,NISC 1,56620
Jun-2018,School Student,NISC 1,75700
Jun-2018,Senior/Pensioner,NISC 1,118610
Jul-2018,Adult,NISC 1,121789
Jul-2018,Adult Single Bus Trip 1,NISC 1,6464
Jul-2018,Adult Single Bus Trip 2,NISC 1,4612
Jul-2018,Adult Single Bus Trip 3,NISC 1,804
Jul-2018,Child/Youth,NISC 1,26758
Jul-2018,Child/Youth Single Bus Trip 1,NISC 1,1854
Jul-2018,Child/Youth Single Bus Trip 2,NISC 1,1926
Jul-2018,Child/Youth Single Bus Trip 3,NISC 1,444
Jul-2018,Concession,NISC 1,28363
Jul-2018,Day Pass Child/Youth w/o SAF,NISC 1,1
Jul-2018,Day Pass without SAF,NISC 1,7
Jul-2018,Employee,NISC 1,2946
Jul-2018,Free Travel,NISC 1,1110
Jul-2018,On Demand,NISC 1,2596
Jul-2018,Other,NISC 1,37643
Jul-2018,School Student,NISC 1,38706
Jul-2018,Senior/Pensioner,NISC 1,130972
Aug-2018,Adult,NISC 1,133930
Aug-2018,Adult Single Bus Trip 1,NISC 1,6394
Aug-2018,Adult Single Bus Trip 2,NISC 1,4490
Aug-2018,Adult Single Bus Trip 3,NISC 1,783
Aug-2018,Child/Youth,NISC 1,23447
Aug-2018,Child/Youth Single Bus Trip 1,NISC 1,1131
Aug-2018,Child/Youth Single Bus Trip 2,NISC 1,1130
Aug-2018,Child/Youth Single Bus Trip 3,NISC 1,250
Aug-2018,Concession,NISC 1,40428
Aug-2018,Day Pass Child/Youth w/o SAF,NISC 1,1
Aug-2018,Day Pass without SAF,NISC 1,16
Aug-2018,Employee,NISC 1,3066
Aug-2018,Free Travel,NISC 1,1165
Aug-2018,On Demand,NISC 1,2318
Aug-2018,Other,NISC 1,68810
Aug-2018,School Student,NISC 1,84570
Aug-2018,Senior/Pensioner,NISC 1,134584
Sep-2018,Adult,NISC 1,124174
Sep-2018,Adult Single Bus Trip 1,NISC 1,5992
Sep-2018,Adult Single Bus Trip 2,NISC 1,4497
Sep-2018,Adult Single Bus Trip 3,NISC 1,817
Sep-2018,Child/Youth,NISC 1,22684
Sep-2018,Child/Youth Single Bus Trip 1,NISC 1,1269
Sep-2018,Child/Youth Single Bus Trip 2,NISC 1,1224
Sep-2018,Child/Youth Single Bus Trip 3,NISC 1,373
Sep-2018,Concession,NISC 1,34708
Sep-2018,Day Pass without SAF,NISC 1,35
Sep-2018,Employee,NISC 1,2805
Sep-2018,Free Travel,NISC 1,1063
Sep-2018,On Demand,NISC 1,2182
Sep-2018,Other,NISC 1,66227
Sep-2018,School Student,NISC 1,67104
Sep-2018,Senior/Pensioner,NISC 1,123258
Oct-2018,Adult,NISC 1,128028
Oct-2018,Adult Single Bus Trip 1,NISC 1,6586
Oct-2018,Adult Single Bus Trip 2,NISC 1,4566
Oct-2018,Adult Single Bus Trip 3,NISC 1,811
Oct-2018,Child/Youth,NISC 1,25448
Oct-2018,Child/Youth Single Bus Trip 1,NISC 1,1485
Oct-2018,Child/Youth Single Bus Trip 2,NISC 1,1514
Oct-2018,Child/Youth Single Bus Trip 3,NISC 1,430
Oct-2018,Concession,NISC 1,32406
Oct-2018,Day Pass Child/Youth w/o SAF,NISC 1,1
Oct-2018,Day Pass without SAF,NISC 1,31
Oct-2018,Employee,NISC 1,2780
Oct-2018,Free Travel,NISC 1,1050
Oct-2018,On Demand,NISC 1,2295
Oct-2018,Other,NISC 1,81377
Oct-2018,School Student,NISC 1,46631
Oct-2018,Senior/Pensioner,NISC 1,128971
Nov-2018,Adult,NISC 1,134444
Nov-2018,Adult Single Bus Trip 1,NISC 1,6448
Nov-2018,Adult Single Bus Trip 2,NISC 1,4722
Nov-2018,Adult Single Bus Trip 3,NISC 1,932
Nov-2018,Child/Youth,NISC 1,23452
Nov-2018,Child/Youth Single Bus Trip 1,NISC 1,1066
Nov-2018,Child/Youth Single Bus Trip 2,NISC 1,1097
Nov-2018,Child/Youth Single Bus Trip 3,NISC 1,339
Nov-2018,Concession,NISC 1,28141
Nov-2018,Day Pass Child/Youth w/o SAF,NISC 1,3
Nov-2018,Day Pass without SAF,NISC 1,41
Nov-2018,Employee,NISC 1,2966
Nov-2018,Free Travel,NISC 1,1214
Nov-2018,On Demand,NISC 1,2221
Nov-2018,Other,NISC 1,174528
Nov-2018,School Student,NISC 1,72405
Nov-2018,Senior/Pensioner,NISC 1,133917
Dec-2018,Adult,NISC 1,112756
Dec-2018,Adult Single Bus Trip 1,NISC 1,6488
Dec-2018,Adult Single Bus Trip 2,NISC 1,4640
Dec-2018,Adult Single Bus Trip 3,NISC 1,982
Dec-2018,Child/Youth,NISC 1,26133
Dec-2018,Child/Youth Single Bus Trip 1,NISC 1,1669
Dec-2018,Child/Youth Single Bus Trip 2,NISC 1,1679
Dec-2018,Child/Youth Single Bus Trip 3,NISC 1,503
Dec-2018,Concession,NISC 1,18758
Dec-2018,Day Pass without SAF,NISC 1,37
Dec-2018,Employee,NISC 1,2587
Dec-2018,Free Travel,NISC 1,1188
Dec-2018,On Demand,NISC 1,2595
Dec-2018,Other,NISC 1,65839
Dec-2018,School Student,NISC 1,29261
Dec-2018,Senior/Pensioner,NISC 1,125220
Jan-2019,Adult,NISC 1,113077
Jan-2019,Adult Single Bus Trip 1,NISC 1,6538
Jan-2019,Adult Single Bus Trip 2,NISC 1,4731
Jan-2019,Adult Single Bus Trip 3,NISC 1,981
Jan-2019,Child/Youth,NISC 1,31002
Jan-2019,Child/Youth Single Bus Trip 1,NISC 1,2022
Jan-2019,Child/Youth Single Bus Trip 2,NISC 1,2052
Jan-2019,Child/Youth Single Bus Trip 3,NISC 1,673
Jan-2019,Concession,NISC 1,17807
Jan-2019,Day Pass Child/Youth w/o SAF,NISC 1,1
Jan-2019,Day Pass without SAF,NISC 1,49
Jan-2019,Employee,NISC 1,2571
Jan-2019,Free Travel,NISC 1,1117
Jan-2019,On Demand,NISC 1,2771
Jan-2019,Other,NISC 1,48037
Jan-2019,School Student,NISC 1,5243
Jan-2019,Senior/Pensioner,NISC 1,122480
Feb-2019,Adult,NISC 1,127532
Feb-2019,Adult Single Bus Trip 1,NISC 1,6514
Feb-2019,Adult Single Bus Trip 2,NISC 1,4588
Feb-2019,Adult Single Bus Trip 3,NISC 1,796
Feb-2019,Child/Youth,NISC 1,25987
Feb-2019,Child/Youth Single Bus Trip 1,NISC 1,983
Feb-2019,Child/Youth Single Bus Trip 2,NISC 1,1045
Feb-2019,Child/Youth Single Bus Trip 3,NISC 1,344
Feb-2019,Concession,NISC 1,23798
Feb-2019,Day Pass without SAF,NISC 1,39
Feb-2019,Employee,NISC 1,2923
Feb-2019,Free Travel,NISC 1,1167
Feb-2019,On Demand,NISC 1,2571
Feb-2019,Other,NISC 1,0
Feb-2019,School Student,NISC 1,79090
Feb-2019,Senior/Pensioner,NISC 1,126015
Mar-2019,Adult,NISC 1,143805
Mar-2019,Adult Single Bus Trip 1,NISC 1,7303
Mar-2019,Adult Single Bus Trip 2,NISC 1,4745
Mar-2019,Adult Single Bus Trip 3,NISC 1,981
Mar-2019,Child/Youth,NISC 1,27298
Mar-2019,Child/Youth Single Bus Trip 1,NISC 1,1185
Mar-2019,Child/Youth Single Bus Trip 2,NISC 1,1105
Mar-2019,Child/Youth Single Bus Trip 3,NISC 1,300
Mar-2019,Concession,NISC 1,36481
Mar-2019,Day Pass Child/Youth w/o SAF,NISC 1,5
Mar-2019,Day Pass without SAF,NISC 1,69
Mar-2019,Employee,NISC 1,3083
Mar-2019,Free Travel,NISC 1,1330
Mar-2019,On Demand,NISC 1,2807
Mar-2019,Other,NISC 1,0
Mar-2019,School Student,NISC 1,86369
Mar-2019,Senior/Pensioner,NISC 1,138898
Apr-2019,Adult,NISC 1,121788
Apr-2019,Adult Single Bus Trip 1,NISC 1,6778
Apr-2019,Adult Single Bus Trip 2,NISC 1,4106
Apr-2019,Adult Single Bus Trip 3,NISC 1,836
Apr-2019,Child/Youth,NISC 1,26571
Apr-2019,Child/Youth Single Bus Trip 1,NISC 1,1456
Apr-2019,Child/Youth Single Bus Trip 2,NISC 1,1534
Apr-2019,Child/Youth Single Bus Trip 3,NISC 1,425
Apr-2019,Concession,NISC 1,28643
Apr-2019,Day Pass without SAF,NISC 1,97
Apr-2019,Employee,NISC 1,3058
Apr-2019,Free Travel,NISC 1,1197
Apr-2019,On Demand,NISC 1,2849
Apr-2019,School Student,NISC 1,42418
Apr-2019,Senior/Pensioner,NISC 1,128899
May-2019,Adult,NISC 1,136071
May-2019,Adult Single Bus Trip 1,NISC 1,7016
May-2019,Adult Single Bus Trip 2,NISC 1,4454
May-2019,Adult Single Bus Trip 3,NISC 1,866
May-2019,Child/Youth,NISC 1,25450
May-2019,Child/Youth Single Bus Trip 1,NISC 1,1023
May-2019,Child/Youth Single Bus Trip 2,NISC 1,928
May-2019,Child/Youth Single Bus Trip 3,NISC 1,248
May-2019,Concession,NISC 1,36150
May-2019,Day Pass without SAF,NISC 1,72
May-2019,Employee,NISC 1,3417
May-2019,Free Travel,NISC 1,1256
May-2019,On Demand,NISC 1,3091
May-2019,School Student,NISC 1,88248
May-2019,Senior/Pensioner,NISC 1,143946
Jun-2019,Adult,NISC 1,116081
Jun-2019,Adult Single Bus Trip 1,NISC 1,5985
Jun-2019,Adult Single Bus Trip 2,NISC 1,3743
Jun-2019,Adult Single Bus Trip 3,NISC 1,726
Jun-2019,Child/Youth,NISC 1,21782
Jun-2019,Child/Youth Single Bus Trip 1,NISC 1,931
Jun-2019,Child/Youth Single Bus Trip 2,NISC 1,932
Jun-2019,Child/Youth Single Bus Trip 3,NISC 1,243
Jun-2019,Concession,NISC 1,24764
Jun-2019,Day Pass without SAF,NISC 1,38
Jun-2019,Employee,NISC 1,2696
Jun-2019,Free Travel,NISC 1,1085
Jun-2019,On Demand,NISC 1,2797
Jun-2019,School Student,NISC 1,64612
Jun-2019,Senior/Pensioner,NISC 1,119555
Jul-2019,Adult,NISC 1,129387
Jul-2019,Adult Single Bus Trip 1,NISC 1,6371
Jul-2019,Adult Single Bus Trip 2,NISC 1,4041
Jul-2019,Adult Single Bus Trip 3,NISC 1,826
Jul-2019,Child/Youth,NISC 1,28850
Jul-2019,Child/Youth Single Bus Trip 1,NISC 1,1686
Jul-2019,Child/Youth Single Bus Trip 2,NISC 1,1500
Jul-2019,Child/Youth Single Bus Trip 3,NISC 1,483
Jul-2019,Concession,NISC 1,23645
Jul-2019,Day Pass Child/Youth w/o SAF,NISC 1,1
Jul-2019,Day Pass without SAF,NISC 1,65
Jul-2019,Employee,NISC 1,3251
Jul-2019,Free Travel,NISC 1,1181
Jul-2019,On Demand,NISC 1,4854
Jul-2019,School Student,NISC 1,37958
Jul-2019,Senior/Pensioner,NISC 1,130839
Aug-2019,Adult,NISC 1,140117
Aug-2019,Adult Single Bus Trip 1,NISC 1,5966
Aug-2019,Adult Single Bus Trip 2,NISC 1,3651
Aug-2019,Adult Single Bus Trip 3,NISC 1,804
Aug-2019,Child/Youth,NISC 1,24368
Aug-2019,Child/Youth Single Bus Trip 1,NISC 1,1094
Aug-2019,Child/Youth Single Bus Trip 2,NISC 1,916
Aug-2019,Child/Youth Single Bus Trip 3,NISC 1,316
Aug-2019,Concession,NISC 1,33146
Aug-2019,Day Pass Child/Youth w/o SAF,NISC 1,6
Aug-2019,Day Pass without SAF,NISC 1,70
Aug-2019,Employee,NISC 1,3046
Aug-2019,Free Travel,NISC 1,1161
Aug-2019,On Demand,NISC 1,4976
Aug-2019,School Student,NISC 1,73084
Aug-2019,Senior/Pensioner,NISC 1,131398
Sep-2019,Adult,NISC 1,130674
Sep-2019,Adult Single Bus Trip 1,NISC 1,5147
Sep-2019,Adult Single Bus Trip 2,NISC 1,3124
Sep-2019,Adult Single Bus Trip 3,NISC 1,644
Sep-2019,CTP,NISC 1,8441
Sep-2019,Child/Youth,NISC 1,24186
Sep-2019,Child/Youth Single Bus Trip 1,NISC 1,1215
Sep-2019,Child/Youth Single Bus Trip 2,NISC 1,990
Sep-2019,Child/Youth Single Bus Trip 3,NISC 1,336
Sep-2019,Concession,NISC 1,30383
Sep-2019,Day Pass without SAF,NISC 1,58
Sep-2019,Employee,NISC 1,2704
Sep-2019,Free Travel,NISC 1,1220
Sep-2019,On Demand,NISC 1,5187
Sep-2019,School Student,NISC 1,60640
Sep-2019,Senior/Pensioner,NISC 1,128046
Oct-2019,Adult,NISC 1,126899
Oct-2019,Adult Single Bus Trip 1,NISC 1,5046
Oct-2019,Adult Single Bus Trip 2,NISC 1,2990
Oct-2019,Adult Single Bus Trip 3,NISC 1,590
Oct-2019,CTP,NISC 1,19905
Oct-2019,Child/Youth,NISC 1,28538
Oct-2019,Child/Youth Single Bus Trip 1,NISC 1,1553
Oct-2019,Child/Youth Single Bus Trip 2,NISC 1,1208
Oct-2019,Child/Youth Single Bus Trip 3,NISC 1,476
Oct-2019,Concession,NISC 1,28364
Oct-2019,Day Pass without SAF,NISC 1,75
Oct-2019,Employee,NISC 1,2944
Oct-2019,Free Travel,NISC 1,1350
Oct-2019,On Demand,NISC 1,5515
Oct-2019,School Student,NISC 1,43055
Oct-2019,Senior/Pensioner,NISC 1,137068
Nov-2019,Adult,NISC 1,121807
Nov-2019,Adult Single Bus Trip 1,NISC 1,5089
Nov-2019,Adult Single Bus Trip 2,NISC 1,2661
Nov-2019,Adult Single Bus Trip 3,NISC 1,570
Nov-2019,CTP,NISC 1,25755
Nov-2019,Child/Youth,NISC 1,23800
Nov-2019,Child/Youth Single Bus Trip 1,NISC 1,990
Nov-2019,Child/Youth Single Bus Trip 2,NISC 1,744
Nov-2019,Child/Youth Single Bus Trip 3,NISC 1,288
Nov-2019,Concession,NISC 1,25789
Nov-2019,Day Pass without SAF,NISC 1,54
Nov-2019,Employee,NISC 1,2878
Nov-2019,Free Travel,NISC 1,1277
Nov-2019,On Demand,NISC 1,5629
Nov-2019,School Student,NISC 1,57892
Nov-2019,Senior/Pensioner,NISC 1,131972
Dec-2019,Adult,NISC 1,103944
Dec-2019,Adult Single Bus Trip 1,NISC 1,4934
Dec-2019,Adult Single Bus Trip 2,NISC 1,2906
Dec-2019,Adult Single Bus Trip 3,NISC 1,611
Dec-2019,CTP,NISC 1,30408
Dec-2019,Child/Youth,NISC 1,26221
Dec-2019,Child/Youth Single Bus Trip 1,NISC 1,1547
Dec-2019,Child/Youth Single Bus Trip 2,NISC 1,1230
Dec-2019,Child/Youth Single Bus Trip 3,NISC 1,442
Dec-2019,Concession,NISC 1,17777
Dec-2019,Day Pass without SAF,NISC 1,51
Dec-2019,Employee,NISC 1,2686
Dec-2019,Free Travel,NISC 1,1073
Dec-2019,On Demand,NISC 1,5723
Dec-2019,School Student,NISC 1,26072
Dec-2019,Senior/Pensioner,NISC 1,125738
Jan-2020,Adult,NISC 1,98214
Jan-2020,Adult Single Bus Trip 1,NISC 1,4739
Jan-2020,Adult Single Bus Trip 2,NISC 1,2669
Jan-2020,Adult Single Bus Trip 3,NISC 1,555
Jan-2020,CTP,NISC 1,33605
Jan-2020,Child/Youth,NISC 1,29974
Jan-2020,Child/Youth Single Bus Trip 1,NISC 1,1712
Jan-2020,Child/Youth Single Bus Trip 2,NISC 1,1449
Jan-2020,Child/Youth Single Bus Trip 3,NISC 1,538
Jan-2020,Concession,NISC 1,16604
Jan-2020,Day Pass without SAF,NISC 1,46
Jan-2020,Employee,NISC 1,2593
Jan-2020,Free Travel,NISC 1,1116
Jan-2020,On Demand,NISC 1,5944
Jan-2020,School Student,NISC 1,8011
Jan-2020,Senior/Pensioner,NISC 1,123044
Feb-2020,Adult,NISC 1,108983
Feb-2020,Adult Single Bus Trip 1,NISC 1,4660
Feb-2020,Adult Single Bus Trip 2,NISC 1,2473
Feb-2020,Adult Single Bus Trip 3,NISC 1,530
Feb-2020,CTP,NISC 1,39484
Feb-2020,Child/Youth,NISC 1,24540
Feb-2020,Child/Youth Single Bus Trip 1,NISC 1,832
Feb-2020,Child/Youth Single Bus Trip 2,NISC 1,680
Feb-2020,Child/Youth Single Bus Trip 3,NISC 1,235
Feb-2020,Concession,NISC 1,22796
Feb-2020,Day Pass Child/Youth w/o SAF,NISC 1,8
Feb-2020,Day Pass without SAF,NISC 1,45
Feb-2020,Employee,NISC 1,2801
Feb-2020,Free Travel,NISC 1,1155
Feb-2020,On Demand,NISC 1,5172
Feb-2020,School Student,NISC 1,67044
Feb-2020,Senior/Pensioner,NISC 1,123402
Mar-2020,Adult,NISC 1,85737
Mar-2020,Adult Single Bus Trip 1,NISC 1,2037
Mar-2020,Adult Single Bus Trip 2,NISC 1,1224
Mar-2020,Adult Single Bus Trip 3,NISC 1,213
Mar-2020,CTP,NISC 1,31088
Mar-2020,Child/Youth,NISC 1,17498
Mar-2020,Child/Youth Single Bus Trip 1,NISC 1,430
Mar-2020,Child/Youth Single Bus Trip 2,NISC 1,259
Mar-2020,Child/Youth Single Bus Trip 3,NISC 1,94
Mar-2020,Concession,NISC 1,25053
Mar-2020,Day Pass Child/Youth w/o SAF,NISC 1,3
Mar-2020,Day Pass without SAF,NISC 1,70
Mar-2020,Employee,NISC 1,2258
Mar-2020,Free Travel,NISC 1,861
Mar-2020,On Demand,NISC 1,5102
Mar-2020,School Student,NISC 1,46925
Mar-2020,Senior/Pensioner,NISC 1,104839
Apr-2020,Adult,NISC 1,29676
Apr-2020,Adult Single Bus Trip 1,NISC 1,15
Apr-2020,Adult Single Bus Trip 2,NISC 1,11
Apr-2020,Adult Single Bus Trip 3,NISC 1,2
Apr-2020,CTP,NISC 1,11719
Apr-2020,Child/Youth,NISC 1,3798
Apr-2020,Child/Youth Single Bus Trip 1,NISC 1,4
Apr-2020,Child/Youth Single Bus Trip 2,NISC 1,1
Apr-2020,Child/Youth Single Bus Trip 3,NISC 1,2
Apr-2020,Concession,NISC 1,6396
Apr-2020,Day Pass without SAF,NISC 1,23
Apr-2020,Employee,NISC 1,984
Apr-2020,Free Travel,NISC 1,348
Apr-2020,On Demand,NISC 1,3722
Apr-2020,School Student,NISC 1,613
Apr-2020,Senior/Pensioner,NISC 1,52773
May-2020,Adult,NISC 1,41517
May-2020,Adult Single Bus Trip 1,NISC 1,9
