MonthYear,Station,Station_Type,Entry_Exit,Trip
2024-12-01 00:00:00.000,Dora Creek  Station,Train,Exit,747
2024-12-01 00:00:00.000,East Maitland  Station,Train,Entry,633
2024-12-01 00:00:00.000,East Maitland  Station,Train,Exit,592
2024-12-01 00:00:00.000,Fassifern  Station,Train,Entry,8518
2024-12-01 00:00:00.000,Fassifern  Station,Train,Exit,7468
2024-12-01 00:00:00.000,Hamilton  Station,Train,Entry,14285
2024-12-01 00:00:00.000,Hamilton  Station,Train,Exit,14342
2024-12-01 00:00:00.000,Hexham  Station,Train,Entry,204
2024-12-01 00:00:00.000,Hexham  Station,Train,Exit,221
2024-12-01 00:00:00.000,Kotara  Station,Train,Entry,1135
2024-12-01 00:00:00.000,Kotara  Station,Train,Exit,1319
2024-12-01 00:00:00.000,Maitland  Station,Train,Entry,8375
2024-12-01 00:00:00.000,Maitland  Station,Train,Exit,7315
2024-12-01 00:00:00.000,Metford  Station,Train,Entry,1422
2024-12-01 00:00:00.000,Metford  Station,Train,Exit,1349
2024-12-01 00:00:00.000,Morisset  Station,Train,Entry,15165
2024-12-01 00:00:00.000,Morisset  Station,Train,Exit,14039
2024-12-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Entry,28283
2024-12-01 00:00:00.000,Newcastle Interchange Light Rail,Light rail,Exit,22146
2024-12-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,41430
2024-12-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,41859
2024-12-01 00:00:00.000,Sandgate  Station,Train,Entry,421
2024-12-01 00:00:00.000,Sandgate  Station,Train,Exit,331
2024-12-01 00:00:00.000,Tarro  Station,Train,Entry,180
2024-12-01 00:00:00.000,Tarro  Station,Train,Exit,124
2024-12-01 00:00:00.000,Teralba  Station,Train,Entry,977
2024-12-01 00:00:00.000,Teralba  Station,Train,Exit,854
2024-12-01 00:00:00.000,Thornton  Station,Train,Entry,4979
2024-12-01 00:00:00.000,Thornton  Station,Train,Exit,4459
2024-12-01 00:00:00.000,Victoria Street  Station,Train,Entry,6256
2024-12-01 00:00:00.000,Victoria Street  Station,Train,Exit,5487
2024-12-01 00:00:00.000,Warabrook  Station,Train,Entry,1985
2024-12-01 00:00:00.000,Warabrook  Station,Train,Exit,1931
2024-12-01 00:00:00.000,Waratah  Station,Train,Entry,3543
2024-12-01 00:00:00.000,Waratah  Station,Train,Exit,3310
2024-12-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Entry,5124
2024-12-01 00:00:00.000,Waratah Mills Light Rail,Light rail,Exit,4627
2024-12-01 00:00:00.000,Wyee  Station,Train,Entry,5708
2024-12-01 00:00:00.000,Wyee  Station,Train,Exit,4870
2025-01-01 00:00:00.000,Adamstown  Station,Train,Entry,1848
2025-01-01 00:00:00.000,Adamstown  Station,Train,Exit,2081
2025-01-01 00:00:00.000,Awaba  Station,Train,Entry,321
2025-01-01 00:00:00.000,Awaba  Station,Train,Exit,267
2025-01-01 00:00:00.000,Booragul  Station,Train,Entry,513
2025-01-01 00:00:00.000,Booragul  Station,Train,Exit,431
2025-01-01 00:00:00.000,Broadmeadow  Station,Train,Entry,18485
2025-01-01 00:00:00.000,Broadmeadow  Station,Train,Exit,16538
2025-01-01 00:00:00.000,Cardiff  Station,Train,Entry,18476
2025-01-01 00:00:00.000,Cardiff  Station,Train,Exit,17233
2025-01-01 00:00:00.000,Cockle Creek  Station,Train,Entry,837
2025-01-01 00:00:00.000,Cockle Creek  Station,Train,Exit,835
2025-01-01 00:00:00.000,Dora Creek  Station,Train,Entry,715
2025-01-01 00:00:00.000,Dora Creek  Station,Train,Exit,673
