SA1_CODE21,zone_tier,lga_name,lga_code
10602161814,core,Maitland,15050
10602161815,core,Maitland,15050
10602161816,core,Maitland,15050
10602161817,core,Maitland,15050
10602161818,core,Maitland,15050
10602161819,core,Maitland,15050
10602161820,core,Maitland,15050
10602161821,core,Maitland,15050
10602161822,core,Maitland,15050
10602161823,core,Maitland,15050
10602161824,core,Maitland,15050
10602161825,core,Maitland,15050
10602161826,core,Maitland,15050
10602161827,core,Maitland,15050
10602161828,core,Maitland,15050
10602161829,core,Maitland,15050
10602161830,core,Maitland,15050
10602161831,core,Maitland,15050
10602161832,core,Maitland,15050
10602161833,core,Maitland,15050
10602161834,core,Maitland,15050
10602161835,core,Maitland,15050
10602161836,core,Maitland,15050
10602161837,core,Maitland,15050
10602161838,core,Maitland,15050
10602161839,core,Maitland,15050
10603111901,core,Port Stephens,16400
10603111902,core,Port Stephens,16400
10603111903,core,Port Stephens,16400
10603111904,core,Port Stephens,16400
10603111906,core,Port Stephens,16400
10603111907,core,Port Stephens,16400
10603111908,core,Port Stephens,16400
10603111909,core,Port Stephens,16400
10603111910,core,Port Stephens,16400
10603111911,core,Port Stephens,16400
10603111912,core,Port Stephens,16400
10603111913,core,Port Stephens,16400
10603111914,core,Port Stephens,16400
10603111915,core,Port Stephens,16400
10603111916,core,Port Stephens,16400
10603111917,core,Port Stephens,16400
10603111918,core,Port Stephens,16400
10603111919,core,Port Stephens,16400
10603111921,core,Port Stephens,16400
10603111922,core,Port Stephens,16400
10603112001,core,Port Stephens,16400
10603112002,core,Port Stephens,16400
10603112003,core,Port Stephens,16400
10603112004,core,Port Stephens,16400
10603112005,core,Port Stephens,16400
10603112006,core,Port Stephens,16400
10603112007,core,Port Stephens,16400
10603112008,core,Port Stephens,16400
10603112009,core,Port Stephens,16400
10603112010,core,Port Stephens,16400
10603112011,core,Port Stephens,16400
10603112012,core,Port Stephens,16400
10603112013,core,Port Stephens,16400
10603112014,core,Port Stephens,16400
10603112015,core,Port Stephens,16400
10603112016,core,Port Stephens,16400
10603112017,core,Port Stephens,16400
10603112018,core,Port Stephens,16400
10603112101,core,Port Stephens,16400
10603112102,core,Port Stephens,16400
10603112103,core,Port Stephens,16400
10603112104,core,Port Stephens,16400
10603112105,core,Port Stephens,16400
10603112106,core,Port Stephens,16400
10603112107,core,Port Stephens,16400
10603112108,core,Port Stephens,16400
10603112109,core,Port Stephens,16400
10603112110,core,Port Stephens,16400
10603112111,core,Port Stephens,16400
10603112112,core,Port Stephens,16400
10603112113,core,Port Stephens,16400
10603112114,core,Port Stephens,16400
10603112115,core,Port Stephens,16400
10603112116,core,Port Stephens,16400
10603112117,core,Port Stephens,16400
10603112118,core,Port Stephens,16400
10603112119,core,Port Stephens,16400
10603112120,core,Port Stephens,16400
10603112121,core,Port Stephens,16400
10603112122,core,Port Stephens,16400
10603112123,core,Port Stephens,16400
10603112124,core,Port Stephens,16400
10603112125,core,Port Stephens,16400
10603112126,core,Port Stephens,16400
10603112127,core,Port Stephens,16400
10603112128,core,Port Stephens,16400
10603112129,core,Port Stephens,16400
10603112130,core,Port Stephens,16400
10603112131,core,Port Stephens,16400
10603112133,core,Port Stephens,16400
10603112134,core,Port Stephens,16400
10603112135,core,Port Stephens,16400
10603112136,core,Port Stephens,16400
10603112137,core,Port Stephens,16400
10603112138,core,Port Stephens,16400
10603112139,core,Port Stephens,16400
10603112140,core,Port Stephens,16400
10603112141,core,Port Stephens,16400
10603112142,core,Port Stephens,16400
10603112143,core,Port Stephens,16400
10603112144,core,Port Stephens,16400
10603112145,core,Port Stephens,16400
10603112146,core,Port Stephens,16400
10603112147,core,Port Stephens,16400
10603112148,core,Port Stephens,16400
10603112149,core,Port Stephens,16400
10603112150,core,Port Stephens,16400
10603112151,core,Port Stephens,16400
10603112152,core,Port Stephens,16400
10603112153,core,Port Stephens,16400
10603112154,core,Port Stephens,16400
10603112155,core,Port Stephens,16400
10603112156,core,Port Stephens,16400
10603112157,core,Port Stephens,16400
10603112158,core,Port Stephens,16400
10603112201,core,Port Stephens,16400
10603112202,core,Port Stephens,16400
10603112203,core,Port Stephens,16400
10603112204,core,Port Stephens,16400
10603112205,core,Port Stephens,16400
10603112206,core,Port Stephens,16400
10603112207,core,Port Stephens,16400
10603112208,core,Port Stephens,16400
10603112209,core,Port Stephens,16400
10603112210,core,Port Stephens,16400
10603112211,core,Port Stephens,16400
10603112212,core,Port Stephens,16400
10603112213,core,Port Stephens,16400
10603112214,core,Port Stephens,16400
10603112215,core,Port Stephens,16400
10603112216,core,Port Stephens,16400
10603112217,core,Port Stephens,16400
10603112218,core,Port Stephens,16400
10603112219,core,Port Stephens,16400
10603112220,core,Port Stephens,16400
10603112221,core,Port Stephens,16400
10603112222,core,Port Stephens,16400
10603112223,core,Port Stephens,16400
10603112224,core,Port Stephens,16400
10603112225,core,Port Stephens,16400
10603112226,core,Port Stephens,16400
10603112227,core,Port Stephens,16400
10603112228,core,Port Stephens,16400
10603112230,core,Port Stephens,16400
10603112232,core,Port Stephens,16400
10603112233,core,Port Stephens,16400
10603112234,core,Port Stephens,16400
10603112235,core,Port Stephens,16400
10603112236,core,Port Stephens,16400
10603112301,core,Port Stephens,16400
10603112302,core,Port Stephens,16400
10603112303,core,Port Stephens,16400
10603112304,core,Port Stephens,16400
10603112305,core,Port Stephens,16400
10603112306,core,Port Stephens,16400
10603112307,core,Port Stephens,16400
10603112308,core,Port Stephens,16400
10603112309,core,Port Stephens,16400
10603112310,core,Port Stephens,16400
10603112311,core,Port Stephens,16400
10603112312,core,Port Stephens,16400
10603112313,core,Port Stephens,16400
10603112314,core,Port Stephens,16400
10603112315,core,Port Stephens,16400
10603112402,external,Mid-Coast,15240
10603112403,external,Mid-Coast,15240
10603112404,external,Mid-Coast,15240
10603112405,external,Mid-Coast,15240
10603112406,external,Mid-Coast,15240
10603112407,external,Mid-Coast,15240
10603112408,external,Mid-Coast,15240
10603112409,external,Mid-Coast,15240
10603112411,external,Mid-Coast,15240
10603112412,external,Mid-Coast,15240
10603112413,external,Mid-Coast,15240
10603112414,external,Mid-Coast,15240
10603112415,external,Mid-Coast,15240
10603112416,external,Mid-Coast,15240
10603112417,external,Mid-Coast,15240
10603112418,external,Mid-Coast,15240
10603112419,external,Mid-Coast,15240
10603112420,external,Mid-Coast,15240
10603112421,external,Mid-Coast,15240
10603112422,external,Mid-Coast,15240
10603112501,core,Port Stephens,16400
10603112502,core,Port Stephens,16400
10603112503,core,Port Stephens,16400
10603112505,core,Port Stephens,16400
10603112506,core,Port Stephens,16400
10603112507,core,Port Stephens,16400
10603112508,core,Port Stephens,16400
10603112509,core,Port Stephens,16400
10603112510,core,Port Stephens,16400
10603112512,core,Port Stephens,16400
10603112513,core,Port Stephens,16400
10603112514,core,Port Stephens,16400
10603112515,core,Port Stephens,16400
10603112516,core,Port Stephens,16400
10603112517,core,Port Stephens,16400
10603112518,core,Port Stephens,16400
10603112519,core,Port Stephens,16400
10603112520,core,Port Stephens,16400
10603112521,core,Port Stephens,16400
10603112522,core,Port Stephens,16400
10603112523,core,Port Stephens,16400
10603112524,core,Port Stephens,16400
10603112525,core,Port Stephens,16400
10603112526,core,Port Stephens,16400
10603112527,core,Port Stephens,16400
10603112528,core,Port Stephens,16400
10603112529,core,Port Stephens,16400
10603112530,core,Port Stephens,16400
10603112531,core,Port Stephens,16400
10603112532,core,Port Stephens,16400
10603112533,core,Port Stephens,16400
10603112534,core,Port Stephens,16400
10603112535,core,Port Stephens,16400
10603112536,core,Port Stephens,16400
10603112537,core,Port Stephens,16400
10603112538,core,Port Stephens,16400
10603112539,core,Port Stephens,16400
10603112540,core,Port Stephens,16400
10603112541,core,Port Stephens,16400
10603112542,core,Port Stephens,16400
10604112601,external,Muswellbrook,15650
10604112602,external,Muswellbrook,15650
10604112603,external,Muswellbrook,15650
10604112604,external,Muswellbrook,15650
10604112605,external,Muswellbrook,15650
10604112606,external,Muswellbrook,15650
10604112607,external,Muswellbrook,15650
10604112608,external,Muswellbrook,15650
10604112609,external,Muswellbrook,15650
10604112610,external,Muswellbrook,15650
10604112611,external,Muswellbrook,15650
10604112612,external,Muswellbrook,15650
10604112613,external,Muswellbrook,15650
10604112614,external,Muswellbrook,15650
10604112615,external,Muswellbrook,15650
10604112617,external,Muswellbrook,15650
10604112618,external,Muswellbrook,15650
10604112619,external,Muswellbrook,15650
10604112620,external,Muswellbrook,15650
10604112621,external,Muswellbrook,15650
10604112622,external,Muswellbrook,15650
10604112623,external,Muswellbrook,15650
10604112624,external,Muswellbrook,15650
10604112625,external,Muswellbrook,15650
10604112626,external,Muswellbrook,15650
10604112627,external,Muswellbrook,15650
10604112628,external,Muswellbrook,15650
10604112629,external,Muswellbrook,15650
10604112630,external,Muswellbrook,15650
10604112632,external,Muswellbrook,15650
10604112633,external,Muswellbrook,15650
10604112634,external,Muswellbrook,15650
10604112635,external,Muswellbrook,15650
10604112636,external,Muswellbrook,15650
10604112637,external,Muswellbrook,15650
10604112638,external,Muswellbrook,15650
10604112639,external,Muswellbrook,15650
10604112701,external,Muswellbrook,15650
10604112702,external,Muswellbrook,15650
10604112704,external,Muswellbrook,15650
10604112705,external,Muswellbrook,15650
10604112706,external,Muswellbrook,15650
10604112707,external,Muswellbrook,15650
10604112708,external,Muswellbrook,15650
10604112709,external,Muswellbrook,15650
10604112710,external,Muswellbrook,15650
10604112711,external,Muswellbrook,15650
10604112712,external,Muswellbrook,15650
10604112713,external,Muswellbrook,15650
10604112714,external,Muswellbrook,15650
10604112801,external,Upper Hunter Shire,17620
10604112802,external,Upper Hunter Shire,17620
10604112803,external,Upper Hunter Shire,17620
10604112804,external,Upper Hunter Shire,17620
10604112805,external,Upper Hunter Shire,17620
10604112806,external,Upper Hunter Shire,17620
10604112807,external,Upper Hunter Shire,17620
10604112808,external,Upper Hunter Shire,17620
10604112809,external,Upper Hunter Shire,17620
10604112810,external,Upper Hunter Shire,17620
10604112811,external,Upper Hunter Shire,17620
10604112812,external,Upper Hunter Shire,17620
10604112813,external,Upper Hunter Shire,17620
10604112901,external,Upper Hunter Shire,17620
10604112902,external,Upper Hunter Shire,17620
10604112903,external,Upper Hunter Shire,17620
10604112904,external,Upper Hunter Shire,17620
10604112905,external,Upper Hunter Shire,17620
10604112906,external,Upper Hunter Shire,17620
10604112907,external,Upper Hunter Shire,17620
10604112908,external,Upper Hunter Shire,17620
10604112909,external,Upper Hunter Shire,17620
10604112910,external,Upper Hunter Shire,17620
10604112911,external,Upper Hunter Shire,17620
10604112912,external,Upper Hunter Shire,17620
10604112913,external,Upper Hunter Shire,17620
10604112914,external,Upper Hunter Shire,17620
10604112915,external,Upper Hunter Shire,17620
10604112916,external,Upper Hunter Shire,17620
10604112917,external,Upper Hunter Shire,17620
10604112918,external,Upper Hunter Shire,17620
10604112919,external,Upper Hunter Shire,17620
10604112920,external,Upper Hunter Shire,17620
10604112921,external,Upper Hunter Shire,17620
10604112922,external,Upper Hunter Shire,17620
10604112923,external,Upper Hunter Shire,17620
11101120601,core,Lake Macquarie,14650
11101120602,core,Lake Macquarie,14650
11101120603,core,Lake Macquarie,14650
11101120604,core,Lake Macquarie,14650
11101120605,core,Lake Macquarie,14650
11101120606,core,Lake Macquarie,14650
11101120607,core,Lake Macquarie,14650
11101120608,core,Lake Macquarie,14650
11101120609,core,Lake Macquarie,14650
11101120610,core,Lake Macquarie,14650
11101120611,core,Lake Macquarie,14650
11101120612,core,Lake Macquarie,14650
11101120613,core,Lake Macquarie,14650
11101120614,core,Lake Macquarie,14650
11101120615,core,Lake Macquarie,14650
11101120616,core,Lake Macquarie,14650
11101120617,core,Lake Macquarie,14650
11101120618,core,Lake Macquarie,14650
11101120619,core,Lake Macquarie,14650
11101120620,core,Lake Macquarie,14650
11101120621,core,Lake Macquarie,14650
11101120622,core,Lake Macquarie,14650
11101120623,core,Lake Macquarie,14650
11101120624,core,Lake Macquarie,14650
11101120625,core,Lake Macquarie,14650
11101120626,core,Lake Macquarie,14650
11101120627,core,Lake Macquarie,14650
11101120628,core,Lake Macquarie,14650
11101120629,core,Lake Macquarie,14650
11101120630,core,Lake Macquarie,14650
11101120631,core,Lake Macquarie,14650
11101120632,core,Lake Macquarie,14650
11101120633,core,Lake Macquarie,14650
11101120634,core,Lake Macquarie,14650
11101120635,core,Lake Macquarie,14650
11101120636,core,Lake Macquarie,14650
11101120637,core,Lake Macquarie,14650
11101120638,core,Lake Macquarie,14650
11101120639,core,Lake Macquarie,14650
11101120640,core,Lake Macquarie,14650
11101120641,core,Lake Macquarie,14650
11101120642,core,Lake Macquarie,14650
11101120701,core,Lake Macquarie,14650
11101120702,core,Lake Macquarie,14650
11101120703,core,Lake Macquarie,14650
11101120704,core,Lake Macquarie,14650
11101120705,core,Lake Macquarie,14650
11101120706,core,Lake Macquarie,14650
11101120707,core,Lake Macquarie,14650
11101120708,core,Lake Macquarie,14650
11101120709,core,Lake Macquarie,14650
11101120710,core,Lake Macquarie,14650
11101120711,core,Lake Macquarie,14650
