SA1_CODE21,CHG_FLAG21,CHG_LBL21,SA2_CODE21,SA2_NAME21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,area_km2,x_mga56,y_mga56,lon,lat,zone_tier,zone_id
10601110810,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.217,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110810,0.217,347571.9,6365136.7,151.3712855,-32.8412502,core,10601110810
10601110811,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1678,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110811,0.1677,344814.1,6366718.7,151.3420943,-32.826599,core,10601110811
10601110812,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2185,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110812,0.2183,345201.5,6366701.2,151.346228,-32.8268117,core,10601110812
10601110813,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2229,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110813,0.2229,345327.8,6366313.8,151.3475126,-32.8303223,core,10601110813
10601110814,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1255,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110814,0.1255,345737.3,6366192.3,151.3518655,-32.8314758,core,10601110814
10601110815,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1422,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110815,0.1422,345933.9,6366344.9,151.353991,-32.8301275,core,10601110815
10601110816,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1969,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110816,0.1969,345700.6,6366766.0,151.3515694,-32.8262976,core,10601110816
10601110817,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1931,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110817,0.1932,345592.6,6367091.6,151.3504701,-32.8233469,core,10601110817
10601110818,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.0959,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110818,1.0957,345483.0,6367500.9,151.3493682,-32.8196407,core,10601110818
10601110819,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2146,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110819,0.2146,346126.9,6366945.1,151.3561521,-32.8247428,core,10601110819
10601110820,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1941,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110820,0.194,347165.6,6366735.7,151.3672097,-32.826776,core,10601110820
10601110821,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2479,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110821,0.2478,347069.1,6366352.8,151.3661159,-32.8302149,core,10601110821
10601110822,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.5758,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110822,0.5757,349891.5,6363255.9,151.3957575,-32.8585303,core,10601110822
10601110823,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.0913,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110823,1.091,349141.4,6363938.5,151.387855,-32.8522717,core,10601110823
10601110824,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2393,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110824,0.2393,347726.0,6366736.0,151.3731953,-32.8268507,core,10601110824
10601110825,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.4317,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110825,0.4316,347533.9,6367138.0,151.37121,-32.8231993,core,10601110825
10601110826,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,28.7693,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110826,28.7624,349063.8,6366724.2,151.3874808,-32.8271429,core,10601110826
10601110827,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,13.0235,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110827,13.0207,346199.4,6363568.7,151.3563652,-32.8551975,core,10601110827
10601110828,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3788,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110828,0.3788,343235.2,6366902.4,151.3252636,-32.8247182,core,10601110828
10601110829,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1823,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110829,0.1823,346599.6,6365465.2,151.3609548,-32.8381525,core,10601110829
10601110830,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3498,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110830,0.3497,346618.3,6366930.4,151.3613971,-32.8249443,core,10601110830
10601110831,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1158,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110831,0.1157,346243.7,6366561.8,151.3573354,-32.8282155,core,10601110831
10601110832,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2494,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110832,0.2494,346500.5,6366436.2,151.3600568,-32.8293834,core,10601110832
10601110833,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.4046,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110833,0.4045,346383.5,6365958.9,151.3587285,-32.8336709,core,10601110833
10601110834,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.5435,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110834,0.5436,346114.5,6365293.4,151.3557451,-32.8396337,core,10601110834
10601110835,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1122,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110835,0.1122,346504.2,6364529.2,151.359781,-32.8465792,core,10601110835
10601110836,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2524,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110836,0.2524,344308.2,6365446.1,151.3364771,-32.8380018,core,10601110836
10601110837,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.4278,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110837,0.4276,344819.5,6365713.7,151.3419832,-32.8356621,core,10601110837
10601110838,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1904,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110838,0.1903,347807.1,6365085.1,151.3737895,-32.8417488,core,10601110838
10601110839,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1903,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110839,0.1902,348004.0,6364958.8,151.3758715,-32.842915,core,10601110839
10601110840,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1898,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110840,0.1897,348228.8,6364895.0,151.378263,-32.8435212,core,10601110840
10601110841,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3114,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110841,0.3113,348452.7,6364822.5,151.3806428,-32.8442061,core,10601110841
10601110842,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.7413,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110842,0.7412,341503.1,6363094.6,151.3061137,-32.8588026,core,10601110842
10601110843,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1823,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110843,0.1823,344973.7,6364911.2,151.3434956,-32.8429198,core,10601110843
10601110844,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1821,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110844,0.182,344771.9,6365148.9,151.3413806,-32.8407478,core,10601110844
10601110845,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3063,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110845,0.3063,345440.4,6365610.5,151.3485973,-32.8366798,core,10601110845
10601110847,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.4725,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110847,0.4727,342499.2,6362712.0,151.3166907,-32.862396,core,10601110847
10601110848,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1558,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110848,0.1557,342772.2,6363429.3,151.319729,-32.8559681,core,10601110848
