poi_id,lat,lon,category,category_group,attraction_weight,name,brand,opening_hours,levels,in_cbd,year,weight_source
w828331287,-32.938316,151.6578368,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331288,-32.9383315,151.6577793,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331289,-32.9383539,151.6577748,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331290,-32.9384674,151.657932,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331291,-32.938445,151.6579364,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331292,-32.9383999,151.6579455,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331293,-32.9384226,151.6579412,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331294,-32.9383774,151.6579497,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331295,-32.9383549,151.6579541,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331296,-32.9383319,151.6579584,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331297,-32.9383091,151.6579628,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331298,-32.9382866,151.657967,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331299,-32.9382641,151.6579714,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331300,-32.9382418,151.6579762,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331301,-32.9382191,151.6579805,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331302,-32.9381966,151.6579847,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331303,-32.9381741,151.6579892,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331304,-32.9381518,151.657994,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828359098,-32.9385147,151.6582446,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
