SA1_CODE21,SA2_CODE21,SA2_NAME21,zone_tier,area_km2,x_mga56,y_mga56,lon,lat,population,dwellings_total,office,retail,food,civic,health,leisure,tourism,amenity,landuse,job_index,jobs_sa2,jobs,jobs_source,attr_HW,attr_HE,attr_HS,attr_HO,attr_WB,attr_NHB
10601110807,106011108,Cessnock,core,0.3883,346185.5,6364608.5,151.3563893,-32.8458192,497,219,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,17.2,7459,122.3,modelled_from_WPP_SA2,122.3,11.44,1.5,38.0,3.0,3.0
10601110808,106011108,Cessnock,core,0.3759,346986.9,6365229.0,151.3650527,-32.8403372,430,179,0.0,0.0,0.0,1.0,0.0,26.0,2.0,3.0,0.0,76.0,7459,540.2,modelled_from_WPP_SA2,540.2,40.1,1.5,142.0,8.0,6.0
10601110809,106011108,Cessnock,core,0.1746,347341.6,6365253.2,151.3688447,-32.8401683,253,109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,7459,113.7,modelled_from_WPP_SA2,113.7,35.56,0.5,4.0,6.0,4.0
10601110810,106011108,Cessnock,core,0.217,347571.9,6365136.7,151.3712855,-32.8412502,427,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,8.540000000000001,0.0,0.0,0.0,0.0
10601110811,106011108,Cessnock,core,0.1677,344814.1,6366718.7,151.3420943,-32.826599,398,165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7459,14.2,modelled_from_WPP_SA2,14.2,7.96,0.0,5.0,0.0,0.0
10601110812,106011108,Cessnock,core,0.2183,345201.5,6366701.2,151.346228,-32.8268117,444,181,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,7459,71.1,modelled_from_WPP_SA2,71.1,8.88,0.0,9.0,3.0,0.0
10601110813,106011108,Cessnock,core,0.2229,345327.8,6366313.8,151.3475126,-32.8303223,580,195,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,9.0,7459,64.0,modelled_from_WPP_SA2,64.0,13.1,1.5,18.0,3.0,3.0
10601110814,106011108,Cessnock,core,0.1255,345737.3,6366192.3,151.3518655,-32.8314758,158,83,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,7459,49.8,modelled_from_WPP_SA2,49.8,3.66,10.5,8.0,1.0,6.0
10601110815,106011108,Cessnock,core,0.1422,345933.9,6366344.9,151.353991,-32.8301275,238,102,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,14.2,7459,100.9,modelled_from_WPP_SA2,100.9,5.76,5.0,22.0,2.0,7.0
10601110816,106011108,Cessnock,core,0.1969,345700.6,6366766.0,151.3515694,-32.8262976,446,188,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7459,14.2,modelled_from_WPP_SA2,14.2,8.92,0.0,5.0,0.0,0.0
